Entity,English entity
Æ»¹ûÊ÷Ä¾¸¯²¡,Apple tree Schizophyllum rot
Æ»¹ûĞâ²¡,Apple rust
Æ»¹ûÃ¹ĞÄ²¡,Apple mouldy core
Æ»¹û»¨¸¯²¡,Apple blossom blight
Æ»¹ûÌ¿¾Ò²¡,Apple anthracnose
Æ»¹ûÒß¸¯²¡,Apple collar rot
Æ»¹ûÃºÎÛ²¡,Apple sooty blotch
Æ»¹ûÓ¬·à²¡,Apple fly speck
Æ»¹ûÔ²°ß²¡,Apple fruit blotch
Æ»¹ûºÚµã²¡,Apple fruit spot
Æ»¹ûºÚ¸¯²¡,Apple black rot
Æ»¹ûºÚĞÇ²¡,Apple scab
Æ»¹ûğåĞÔÀ£Ññ²¡,Apple tree blister canker
Æ»¹ûºÖ°ß²¡,Apple brown spot
Æ»¹û°ßµãÂäÒ¶²¡,Apple Alternaria leaf spot
Æ»¹û°×·Û²¡,Apple powdery milde
Æ»¹û»·ÎÆÒ¶¿İ²¡,Apple zonate leaf sopt
Æ»¹ûÒøÒ¶²¡,Apple silver leaf
Æ»¹ûÊ÷³àÒÂ²¡,Apple tree pink disease
Æ»¹ûÊ÷»ÒÉ«¸àÒ©²¡,Apple tree gray felt disease
Æ»¹ûÊ÷ºÖÉ«¸àÒ©²¡,Apple tree brown felt disease
Æ»¹ûºÖ¸¯²¡,Apple brown rot
Æ»¹ûÊ÷°×ÎÆÓğ²¡,Apple tree white root rot
Æ»¹ûÊ÷µØÒÂ²¡,Apple lichen
Æ»¹û´ÔÖ¦²¡,Apple witches¡¯broom
Æ»¹ûÈ±Á×Ö¢,Apple phosphorus deficiency
Æ»¹ûÊ÷¸ùĞà²¡,Apple clitocybe root rot and Armillaria root rot
Æ»¹ûÊ÷×ÏÎÆÓğ²¡,Apple purple root rot
Æ»¹ûÊ÷°×¾î²¡,Apple tree southern blight
Æ»¹ûÔ²°ß¸ù¸¯²¡,Apple Fusarium root rot
Æ»¹ûÃçÁ¢¿İ²¡,Apple seedling stem rot
Æ»¹ûÅİ°ß²¡,Apple blister spot
Æ»¹ûÃ«¸ù²¡,Apple hairy root
Æ»¹û¸ù°©²¡,Apple crown gall
Æ»¹û´ÖÆ¤¹û²¡,Apple rough bark
Æ»¹ûÂÌÖå¹û²¡,Apple green crinkle
Æ»¹û»¨Ò¶²¡,Apple mosaic
Æ»¹ûÖåÒ¶²¡,Apple leaf pucker
Æ»¹û¾¥¶»²¡,Apple stem pitting
Æ»¹û¾¥¹µ²¡,Apple stem grooving
Æ»¹û±âÖ¦²¡,Apple tree flat limb
Æ»¹û¸ß½ÓË¥ÍË²¡,Apple tree decline
Æ»¹ûĞâ¹û²¡,Apple rough skin
Æ»¹û»·°ß¹û²¡,Apple ring spot
Æ»¹ûÍÊÂÌÒ¶°ß²¡,Apple chlo rotic leaf spot
Æ»¹û¸ù½áÏß³æ²¡,Apple tree root-knot nematode disease
Æ»¹û¸ù¸¯Ïß³æ²¡,nan
Æ»¹ûÊ÷ÔÙÖ²²¡,nan
Æ»¹ûĞ¡¹û²¡,Apple chat fruit
Æ»¹ûÖ¦¸¯²¡,nan
Æ»¹ûÊ÷´ÖÆ¤²¡,Apple tree rough bark
Æ»¹ûÈ±Ìú»Æ»¯Ö¢,Apple tree iron deficiency
Æ»¹ûĞ¡Ò¶²¡,Apple tree little leaf
Æ»¹û¿à¶»Ö¢,Apple bitter pit
Æ»¹û¶»°ßÖ¢,Apple bitter pit
Æ»¹ûÈíÖ¦²¡,nan
Æ»¹û´ó¹ûº£ÌÄÁÛÆ¤²¡,nan
Æ»¹ûğåÆ¤²¡,nan
Æ»¹ûË®ĞÄÖ¢,Apple water core
Æ»¹ûÈ±Ã¾Ö¢,Apple tree magnesium deficiency
Æ»¹ûÈ±µªÖ¢,Apple nitrogen deficiency
Æ»¹ûÈ±¼ØÖ¢,Apple potassium deficiency
Æ»¹ûÈ±ÅğËõ¹ûÖ¢,Apple fruit wrinkle
Æ»¹ûÈ±¸ÆÖ¢,Apple tree Ca-deficiency
Æ»¹ûÈ±ÃÌÖ¢,Apple tree Mn-deficiency
Æ»¹û¹ûĞâ,Apple fruit rust
Æ»¹ûÇàÃ¹²¡,Apple blue mold
Æ»Ğ¡Ê³ĞÄ³æ,Lesser Apple fruit borer
Æ»¹ûĞ¡¾í¶ê,Smaller apple leaf roller
Æ»ºÖ¾íÒ¶¶ê,Apple brown tortrix
Æ»¹û¾í¶ê,Large apple leaf roller
É£ºÖ´Ì¶ê,Thosea haibarana
Æ»¹ûó¼¶ê,Codling moth
µÁ¶¾¶ê,Mulberry tussock moth
Æ»¹û³²¶ê,Apple ermine moxh
Æ»¹ûÍ¸³á¶ê,Conopia hector
Áø¸ÉÄ¾ó¼¶ê,Oriental carpenter moth
µ­ºÖ³²¶ê,Alutaceous ermine moth
½ğÎÆÏ¸¶ê,Asiaticapple leaf miner
Æ»¹ûÁöÑÁ,Apple leaf curing aphid
Æ»¹û¸ùÃàÑÁ,nan
ÂÌÃ¤òí,Cotton mirids
Æ»¹ûÃàÑÁ,Apple woolly aphid
Æ»¹ûÈ«×¦òı,Europeanred mite
¹ûÌ¦òı,brown mite
¶ş°ßÒ¶òı,Two spotted spider mite
Æ»¹ûĞ¡¼ª¶¡,Apple branch borer
Áù°ß¼ª¶¡³æ,sixspotted buprestid
±¡³á¾âÌìÅ£,Thin-winged longicorn
Æ»ÈÆÊµÓ¬,Apple maggot
Æ»ºÚğëĞ¡¾í¶ê,Black headed fire worm
Æ»¹ûµñ³á¶ê,Apple leaf skeletonizer
Æ»¹ûÇÊ¶ê,Apple pistolcasebearer
Æ»¹ûËşÒ¶²õ,nan
Æ»¹ûÀ¶Ìø¼×,nan
Ã±°ßÌìÅ£,Black-spotted red longicorn
ÀæÊ÷¸¯ÀÃ²¡,Pear canker
ÀæºÚĞÇ²¡,Pear scab
ÀæÊ÷¸É¿İ²¡,Pear tree Phomopsis twig blight
ÀæÊ÷Ö¦¿İ²¡,Pear tree twig blight
ÀæÊ÷Ä¾¸¯²¡,Pear tree Schizophyllum rot
ÀæÊ÷¸É¸¯²¡,Pear tree die back
Àæ»ğÒß²¡,Pear tree fire blight
ÀæĞâË®²¡,nan
ÀæĞâ²¡,Pear rust
Àæ°×·Û²¡,Pear tree powdery milde
ÀæÊ÷Òß²¡,Pear Phytophthara crown and root rot
ÀæÌ¿¾Ò²¡,Pear anthracnose
ÀæºÖ°ß²¡,Pear brown spot
Àæ»Ò°ß²¡,Pear phyllosticta leaf spot
ÀæÒ¶Òß²¡,Pear leaf blight and fruit spot
ÀæÂÖÎÆ²¡,Pear perennial canker
ÀæÒßÃ¹²¡,Pear Phytophthora crown and root rot
Àæ¹ûºì·Û²¡,Pear pink rot
ÀæºÚ°ß²¡,Pear black spot
ÀæºÚ¸¯²¡,Pear black rot
ÀæÃºÎÛ²¡,Pear sooty blotch
ÀæºÖ¸¯²¡,Pear brown rot
Àæ°×ÎÆÓğ²¡,Pear tree white root rot
Àæ×ÏÎÆÓğ²¡,Pear purple root rot
Àæ¸ùĞà²¡,Pear clitocybe root rot
ÀæÊ÷¸ù¸¯²¡,Pear tree root rot
ÀæÊ÷¸ù°©²¡,Pear crowngall
ÀæÊ¯¶»²¡,Pear stone pit virus
Àæ»·ÎÆ»¨Ò¶²¡,Pear tree chlorotic leaf spot
ÀæÒ¶Âö»Æ»¯²¡,Pear veinyellows
Àæ¸ù½áÏß³æ²¡,Pear tree root-knot nematode disease
Àæ¹ûÇàÃ¹²¡,Pear blue mold
ÀæÈí¸¯²¡,Pear Mucor fruit rot
Àæ¶¥¸¯²¡,Pear diplodia rot
ÀæÊ÷Ë¥ÍË²¡,Pear tree decline
ÀæÏ¸¾úĞÔ»¨¸¯²¡,Pear tree bacterial blossom blight
ÀæÒ¶Õî²¡,Pear leaf spot
ÀæËõÒ¶²¡,Pear leaf curl
Àæ»ÒÉ«¸àÒ©²¡,Pear gray felt fungus
ÀæÀÃ¹û²¡,Pear fruit rot
ÀæÁÑ¹û²¡,Pear fruit split
Àæ´óÊ³ĞÄ³æ,Pear fruit moth
Àæ³ßó¶,nan
ÀæÏó¼×,Pear curcuclio
ÀæÌú¼×,nan
ÀæÒ¶¼×,nan
Àæ¾íÒ¶Ïó¼×,Hazel leafroller weevil
Ä¢¹½ÂÌÃ¹²¡,Mushroom Trichoderma
Ä¢¹½¾ú¸Ç°ßµã²¡,Mushroom pileus spot disease
Ä¢¹½¸É¸¯²¡,Mushroom dry rot
Ä¢¹½Èí¸¯²¡,Mushroom soft rot
Ä¢¹½Ï¸¾úĞÔ°ßµã²¡,Mushroom bacteroidal spot disease
Ä¢¹½²¡¶¾²¡,Mushroom virus disease
Ä¢¹½Ïß³æ²¡,Mushroom nemathelminthiasis
Ä¢¹½¾úË¿Í½³¤,Mushroom mycelium vain growth
Ä¢¹½»ûĞÎ,Mushroom malformation
Ä¢¹½ËÀ¹½,Mushroom lose plant
À¼ÊÏ²¼Â×òı,nan
ºìÖ©Öë,nan
¶Ì½ÇÌø³æ,nan
ºÚ¸¹¹ûÓ¬,Drosophila melanogaster
²İ¹½ÕÛ³á¾úÎÃ,nan
Ãö¹½³ÙÑÛŞ¦ÎÃ,nan
Æ½¹½À÷ÑÛŞ¦ÎÃ,nan
ÖĞ»ªĞÂŞ¦ÎÃ,nan
¾Â²Ë³ÙÑÛŞ¦ÎÃ,Bradysia odoriphaga
Ê³¾úñ¨ÎÃ,nan
Ğ¡¾úÎÃ,nan
Æ½¹½ÇàÃ¹²¡,Cap fungus blue mould
Æ½¹½Èí¸¯²¡,Cap fungus soft rot
Ë«ÏßÊÈğ¤òÒòõ,Land slug
Æ½¹½²¡¶¾²¡,Cap fungus virus disease
Æ½¹½Î®¹½,Cap fungus withered
Æ½¹½Ó×¹½Î®Ëõ¸É¿İ²¡,Cap fungus bud kraurosis
Ïã¹½ºÖ¸¯²¡,Champignon brown rot
Ïã¹½ÖëÍøË¿Ö¦Ã¹²¡,Champignon Aphanocladium mildew
Ïã¹½ÂÌÃ¹²¡,Champignon green mold
Ïã¹½»ûĞÎ¹½,Champignon deformity
¼¦ÍÈ¹½ºì·Û²¡,Coprinus comatus Thichothecium
¼¦ÍÈ¹½ÂÌÃ¹²¡,Coprinus comatus Thichoderma
¼¦×¦¾ú,Xylaria
¼¦ÍÈ¹½¸ÉÁÑ,Coprinus comatus season check
ĞÓ±«¹½ÇàÃ¹²¡,Pleurotus eryngii Penicillium
ĞÓ±«¹½»ûĞÎ,Pleurotus eryngii deformity
Ä¾Ã¹,Trichoderma
ÇàÃ¹,Penicillium
»ÆÁöæßÃ¹,Sepedonium
¿É±ä·ÛæßÃ¹,Oidium
ºúÌÒÈâ×´¾ú,Dichliomyces
Êø¹£æßÃ¹,Doratomyces
Ö¸æßÃ¹,Dactylium
ÂöæßÃ¹,Neurospora
Õ³¾ú,Myxomycetes
·àÉúÖãÃ¹,Scopulariopsis
¹íÉ¡,Coprinuscomatus
µØÍë¾ú,Peziza
Î÷¹ÏÂû¿İ²¡,Water-melon gummy stem blight
Î÷¹Ï¿İÎ®²¡,Water-melon Fusarium wilt
Î÷¹ÏÌ¿¾Ò²¡,Water-melon anthracnose
Î÷¹ÏÒß²¡,Water-melon Phytophthora blight
Î÷¹ÏË¿ºË¾úÁ¢¿İ²¡,Watermelon Rhizoctonia rot
Î÷¹Ï°ßµã²¡,Water-melon Cercospora leaf spot
Î÷¹ÏÒ¶¿İ²¡,Water-melon Alternaria blight
Î÷¹ÏÃà¸¯²¡,Water-melon damping off
Î÷¹ÏºÖÉ«¸¯°Ü²¡,Water-melon Phytophthora brown rot
Î÷¹ÏºÖ¸¯²¡,Water-melon brown rot
Î÷¹Ï¾úºË²¡,Water-melon Sclerotinia disease
Î÷¹ÏÏ¸¾úĞÔ½Ç°ß²¡,Water-melon bacterial angular spot
Î÷¹ÏÏ¸¾úĞÔ¹û°ß²¡,Water-melon bacterial fruit blotch
Î÷¹Ï²¡¶¾²¡,Water-melon virus disease
Î÷¹ÏÂÌ°ß²µ»¨Ò¶²¡,Watermelon green mottle mosaic
Î÷¹Ï¸ù½áÏß³æ²¡,Watermelon root-knotnematode disease
Î÷¹Ïâ§µ¹²¡,Water-melon damping-off
Î÷¹ÏºÚ°ß²¡,Water-melon black leaf spoot
Î÷¹Ï°×·Û²¡,Watermelon powdery mildew
Î÷¹ÏÁ­µ¶¾ú¸ù¸¯²¡,Watermelon Fusarium root rot
Î÷¹Ï°×¾î²¡,Water-melon Sclerotium blight
Î÷¹ÏÕ³¾ú²¡,nan
Î÷¹ÏÏ¸¾úºÖ°ß²¡,nan
Î÷¹ÏÈ±ËØÖ¢,nan
Î÷¹ÏÒ¶°×¿İ²¡,nan
Î÷¹Ï¿Õ¶´¹ûºÍ±äĞÎ¹û,nan
Î÷¹ÏÅ½¸ù,nan
Î÷¹Ï´ÖÂû²¡,nan
Î÷¹ÏÈâÖÊ¶ñ±ä¹û,nan
Î÷¹ÏÃºÎÛ²¡,Water-melon Cerospora
Î÷¹ÏÆê¸¯²¡,nan
Î÷¹Ï»¯¹Ï,nan
Î÷¹ÏÁÑ¹ûÖ¢×´,Water-melon fruit cracking
Î÷¹ÏÈÕ×Æ,Water-melon suncald
¹Ï¾îÃø,Indian cabbage moth
ºùÂ«Ò¹¶ê,nan
»Æ×ã»ÆÊØ¹Ï,Yellow melon leaf beetle
»Æ×ãºÚÊØ¹Ï,Black yellow legged melon leafbeetle
ÎÂÊÒ°×·ÛÊ­,Greenhouse whitefly
ÃÀÖŞ°ßÇ±Ó¬,Vegetable leafminer
¹ÏÑÁ,Catton aphid
ÑÌ·ÛÊ­,Cotton white fly
²è»Æòı,Yellow tea mite
ÖìÉ°Ò¶òı,Carmine spider mite
»ÆĞØ¼»Âí,Yellow chest thrips
»ª±±ò÷òÁ,nan
Í¬ĞÍ°ÍÎÏÅ£,Smooth top snail
Ò°òÒòõ,Wild slugs
¹µ½ğÕë³æ,Grooved click beetle
Ìğ¹Ï´ó°ß²¡,Muskmelon Alternaria leaf blight
Ìğ¹ÏºÚĞÇ²¡,Muskmelon scab
Ìğ¹Ï°×·Û²¡,Muskmelon powdery milde
Ìğ¹ÏËªÃ¹²¡,Muskmelon downy milde
Ìğ¹ÏÒß²¡,Muskmelon Phytophthora blight
Ìğ¹ÏÈí¸¯²¡,Muskmelon bacterial soft rot
Ìğ¹Ïâ§µ¹²¡,Muskmelon damping off
Ìğ¹ÏÌ¿¾Ò²¡,Muskmelon anthracnose
Ìğ¹ÏÒ¶¿İ²¡,nan
Ìğ¹ÏÂû¿İ²¡,Muskmelon gummy stem blight
Ìğ¹Ï¿İÎ®²¡,Muskmelon Fusarium wilt
Ìğ¹ÏÏ¸¾úĞÔÒ¶¿İ²¡,Muskmelon bacterial leaf spot
Ìğ¹Ï²¡¶¾²¡,Muskmelon virus disease
Ìğ¹ÏÁ¢¿İ²¡,Muskmelon Rhizoctonia rot
Ìğ¹ÏºÚµã¸ù¸¯²¡,nan
Ìğ¹ÏÌ¿¸¯²¡,Muskmelon Macrophomina rot
Ìğ¹ÏÎ®Äè²¡,Muskmelon bacterial wilt
Ìğ¹ÏºÚ°ß²¡,Muskmelon Alternaria spot
Ìğ¹Ïºì·Û²¡,Muskmelon pind mold rot
Ìğ¹ÏË¿ºË¾ú¹û¸¯²¡,Muskmelon Rhizoctonia fruit rot
Ìğ¹ÏÁ­µ¶¾ú¹û¸¯²¡,Muskmelon Fusarium fruit rot
Ìğ¹ÏÏ¸¾úĞÔ½Ç°ß²¡,Muskmelon angular leaf spot
Ìğ¹ÏËúÑí,nan
Ìğ¹ÏÏ¸¾úĞÔÒ¶°ß²¡,nan
Ìğ¹ÏÃºÎÛ²¡,Muskmelon Cerospora
Ìğ¹Ï¹ÏóÇÃ¹¹û¸¯²¡,Muskmelon fruit rot
ÑÌÇà³æ,Tobacco budworm
ÒøÎÆÒ¹¶ê,"Threespotted plusia,Mentha semilooper"
Ìğ²ËÒ¹¶ê,Beet armyworm
»ÆÇúÌõÌø¼×,striped flea beetle
ÂíÁåÊíÆ°³æ,twenty-eight-spotted ladybird£¬Potato lady beetle
·¬ÇÑ°ßÇ±Ó¬,Tomato leafminer
¹ÏÊµÓ¬,Melon fly
ÓÍºùÂ«,Field cricket
ºÚÈŞ½ğ¹ê,Smaller velvety chafer
Æ»¹ûÊ÷¸¯ÀÃ²¡,Apple canker
Æ»¹ûÊ÷¸É¸¯²¡,Apple black fruit rot
Íã¶¹Ì¿¾Ò²¡,Pea anthracnose
Íã¶¹»¨Ò¶²¡,Pea mosaic 
¶¹¸ÑºÚÇ±Ó¬,Soybean fly
Íã¶¹Ï¸¾úĞÔÒ¶°ß²¡,Pea bacterial leaf blight
Íã¶¹²ÊÇ±Ó¬,Vegetable leafminer£¬Pea leaf miner
¶Ë´ó¼»Âí,Peanut thrips
»¨¼»Âí,flower thrips
Íã¶¹Ïó,Pea weevil
Ìõ·äÔµòí,Legume pod bug
ôø¶¹¼ÔÃø,Bean pod borer
¶¹¼Ô°ßÃø,Limabean pod borer
Éö¶¾¶ê,Pear tussock moth
Íã¶¹ĞŞÎ²ÑÁ,Vicia aphid
¶¹ÑÁ,Cowpea aphid
±â¶¹ºÖ°ß²¡,Hyacinth dolichos brown spot
±â¶¹½Ç°ß²¡,Hyacinth dolichos angular leaf spot
±â¶¹»¨¸¯²¡,Hyacinth dolichos blossom rot
±â¶¹Ì¿¾Ò²¡,Hyacinth dolichos anthracnose
±â¶¹¾¥¿İ²¡,Hyacinth dolichos stem blight
±â¶¹Ï¸¾úĞÔÒß²¡,Hyacinth dolichos bacterial common blight
±â¶¹Á¢¿İ²¡,Hyacinth dolichos Rhizoctonia rot
±â¶¹ºì°ß²¡,Hyacinth dolichos Cercospora leaf spot
±â¶¹Ğâ²¡,Hyacinth dolichos rust
±â¶¹ºÚ°ß²¡,Hyacinth dolichos Alternaria blight
±â¶¹°ßµã²¡,Hyacinth dolichos Phyllosticta leaf spot
±â¶¹µ­ºÖ°ß²¡,Hyacinth dolichos Ascochyta blight
±â¶¹ÂÖÎÆ°ß²¡,Hyacinth dolichos zonate spot
±â¶¹ÃàÒß²¡,Hyacinth dolichos brown rot
±â¶¹°×¾î²¡,nan
±â¶¹¿İÎ®²¡,nan
±â¶¹¾úºË²¡,nan
±â¶¹²¡¶¾²¡,nan
±â¶¹Óğ¶ê,bonavist plume moth
±â¶¹Ò¹¶ê,nan
¶¹¾íÒ¶Ãø,Bean leaf webber
²İµØÃø,Beet webworm
ÂÌ¶¹Ïó,Chinese cowpea bruchid
±â¶¹Ğ¡»Òµû,Beam butterfly
»Ò°ÍÎÏÅ£,Taper top snail
²Ï¶¹Ğâ²¡,Broad bean rust
²Ï¶¹ºÖ°ß²¡,Broad bean brown spot
²Ï¶¹³à°ß²¡,Broad bean chocolate spot
²Ï¶¹Òß²¡,Broad Bean Phytophthora blight
²Ï¶¹°×·Û²¡,Broad bean powdery milde
²Ï¶¹¾¥»ù¸¯²¡,Broad bean stem wilt
²Ï¶¹ÓÍºø»ğÖ×²¡,Broad Bean Olpidium blight
²Ï¶¹¸ù¸¯²¡,Broad bean Thielaviopsis root rot
²Ï¶¹¿İÎ®²¡,Broad bean Fusarium wilt
²Ï¶¹Ì¿¾Ò²¡,Broad bean anthracnose
²Ï¶¹ËªÃ¹²¡,Broad bean downy milde
²Ï¶¹¾¥Òß²¡,Broad bean bacterial stem blight
²Ï¶¹ÂÖÎÆ²¡,Broad bean Cercospora leaf spot
²Ï¶¹»ÆÎ®²¡,Broad bean Verticillium wilt
²Ï¶¹Á¢¿İ²¡,Broad bean Rhizoctonia rot
²Ï¶¹¾úºË²¡,Broadbean cottony soft rot
²Ï¶¹Ò¶ÉÕ²¡,Broad bean bacterial leaf blight
²Ï¶¹(BYMV)»¨Ò¶²¡,nan
²Ï¶¹Î®Äè²¡¶¾²¡, Broad bean wilt
²Ï¶¹ºËÅÌ¾ú¾¥¸¯²¡,Bean Sclerotinia ashy-stem blight
²Ï¶¹È¾É«²¡¶¾(BBSV)²¡,nan
°ßÔµ¶¹·Ûµû,Asian pale clouded yellow
²Ï¶¹Ïó,Broadbean weevil
²Ï¶¹ĞŞÎ²ÑÁ,Vicia aphid
»Æ»¨²ËĞâ²¡,nan
»Æ»¨²Ë°×¾î²¡,nan
»Æ»¨²ËÒ¶¿İ²¡,nan
»Æ»¨²ËºÚ°ß²¡,nan
»Æ»¨²ËÌ¿¾Ò²¡,nan
»Æ»¨²ËÃ¹¸Ë²¡,nan
»Æ»¨²Ë¸ù¸¯²¡,nan
»Æ»¨²Ë²¡¶¾²¡,nan
´Ì×ã¸ùòı,nan
èÛè½°×·Û²¡,Lycium powdery mildew
èÛè½Ì¿¾Ò²¡,Lycium anthracnose
èÛè½»Ò°ß²¡,Lycium grey spot
èÛè½¸ù¸¯²¡,Lycium root rot
èÛè½¸ºÄà³æ,Ten-spotted Iema
èÛè½ÑÁ³æ,nan
èÛè½Ä¾Ê­,nan
ÈıµãÃ¤òí,nan
Â«Ëñ¾¥¿İ²¡,nan
Â«Ëñ×Ï°ß²¡,nan
Â«Ëñ¹Ú¸¯²¡,nan
Â«ËñÌ¿¾Ò²¡,nan
Â«ËñÁ¢¿İ²¡,nan
Â«Ëñ»ÒÃ¹²¡,nan
Â«ËñÒ¶¿İ²¡,nan
Â«ËñÒßÃ¹¸ù¸¯²¡,nan
Â«Ëñ°ßµã²¡,nan
Â«Ëñ×ÏÎÆÓğ²¡,nan
Â«Ëñ²¡¶¾²¡,nan
¸ÊÀ¶Ò¹¶ê,Cabbage moth
Õ³³æ,oriental armyworm£¬rice armyworm£¬rice earcutting caterpillar
Ğ¡ÔìÇÅ³æ,Yellow cotton moth
´óÔìÇÅ³æ,Mugwort looper
ÑÇÖŞÓñÃ×Ãø,Asiatic corn borer
ÃÉ¹ÅÍÁÏó,nan
Ê®ËÄµã¸ºÄà¼×,nan
»ÒµØÖÖÓ¬,Seed maggot
Á«Åº¸¯°Ü²¡,Lotus root rhizome rot
Á«ÅºÎ²æßºÖ°ß²¡,Lotus Cercospora leaf spot
Á«ÅººÖÎÆ²¡,Lotus root Alternaria leaf spot
Á«ÅºÌ¿¾Ò²¡,Lotus root anthracnose
Á«ÅºÒ¶Òß²¡,Lotus leaf blight
Á«ÅºÒ¶µãÃ¹ÀÃÒ¶²¡,Lotus Phyllosticta leaf spot
Á«Åº°ôæßºÖ°ß²¡,Lotus brown leaf spot
Á«Åº¼ÙÎ²æßºÖ°ß²¡,Lotus root Pseudocercospora brown spot
Á«ÅºĞ¡¾úºËÒ¶¸¯²¡,Lotus Sclerotium leaf rot
Á«Åº²¡¶¾²¡,nan
Á«çË¹ÜÑÁ,Water lily aphid
Á«Ç±Ò¶Ò¡ÎÃ,lotus lily midge
Üú°×ÎÆ¿İ²¡,Water bamboo sheath blight
Üú°×ÎÁ²¡,Water bamboo Pyricularia leaf spot
Á«Åº¸ù½ğ»¨³æ,rice rootworm
Üú°×ºúÂé°ß²¡,Water bamboo Helminthosporium leaf spot
Üú°×Ğâ²¡,Water bamboo leaf rust
Üú°×ºÚ·Û²¡,Water bamboo rhizome smut
¶ş»¯Ãø,Asiatic rice borer
³¤ÂÌ·ÉÊ­,Green slender planthopper
°×±³·ÉÊ­,White-backed planthopper
»Ò·ÉÊ­,rice planthopper
´È¹ÃºÚ·Û²¡,Arrowhead leaf smut
´È¹Ã°ßÎÆ²¡,Arrowhead Cercospora leaf spot
´È¹ÃºÖ°ß²¡,Arrowhead brown leaf spot
´È¹Ã×êĞÄ³æ,nan
İ©Üù¸Ë¿İ²¡,Chufa stem rot
İ©ÜùÇò¾¥»ÒÃ¹²¡,nan
İ©Üù¿İÎ®²¡,nan
İ©Üù¾¥¸¯²¡,nan
İ©Üù°×ºÌÃø,Mat-rush pyralid
»ÆÉ«°×ºÌÃø,nan
ÖĞ»ªòÆòì,nan
Ä¢¹½ºÖ¸¯²¡,Mushroom tan rot
Ä¢¹½ºÖ°ß²¡,Mushroom tan disease
Ä¢¹½â§µ¹²¡,Mushroom damping off
·ğÊÖ¹ÏÂû¿İ²¡,Chayote Ascochyta stem blight
·ğÊÖ¹ÏÒ¶µã²¡,Chayote Phyllosticta leafspot
¿à¹Ï°×°ß²¡,Balsam pear Cercospora leaf spot
¿à¹Ï°×·Û²¡,Balsam pear powdery milde
¿à¹ÏËªÃ¹²¡,Balsam pear downy milde
¿à¹ÏÌ¿¾Ò²¡,Balsam pear anthracnose
¿à¹ÏÒ¶¿İ²¡,Balsam pear Alternaria blight
¿à¹Ï°ßµã²¡,Balsam pear Phyllosticta leaf spot
¿à¹ÏÒß²¡,Balsam pear Phytophthora blight
¿à¹Ï¿İÎ®²¡,Balsam pear Fusarium wilt
¿à¹Ï¸ù¸¯²¡,Balsam pear Fusarium root rot
¿à¹Ï°×¾î²¡,nan
¿à¹Ïâ§µ¹²¡,nan
¿à¹Ï¾úºË²¡,Balsam pear Sclerotinia rot
¿à¹Ï¸ù½áÏß³æ²¡,Balsam pear root-knot nematode disease
¿à¹Ï»Ò°ß²¡,Balsam pear gray leaf spot
¿à¹ÏÂû¿İ²¡,Balsam pear gummy stem blight
¿à¹ÏÁ¢¿İ²¡,Balsam pear Rhizoetonia rot
¿à¹ÏÏ¸¾úĞÔ½Ç°ß²¡,Balsam pear angular leaf spot
¿à¹Ï²¡¶¾²¡,Balsam pear mosaic disease
¿à¹Ï¸ùÃ¹¹û¸¯²¡,Balsam pear Rhizopus rot
¿à¹ÏÁÑ¹û,nan
²Ë¶¹ºì°ß²¡,Bean Cercospora leaf spot
²Ë¶¹°×¾î²¡,Bean southern blight
²Ë¶¹Ì¿¸¯²¡,Bean charcoal rot
²Ë¶¹¾¥»ù¸¯²¡,Bean Rhizoctonia rot
²Ë¶¹»ÒÃ¹²¡,Bean gray mold
²Ë¶¹ÂÖÎÆ²¡,Bean zonate spot
²Ë¶¹Ğâ²¡,Bean rust
²Ë¶¹Ì¿¾Ò²¡,Bean anthracnose
²Ë¶¹ºÚ°ß²¡,Bean leaf spot
²Ë¶¹¾úºË²¡,Bean Sclerotinia blight
²Ë¶¹ºÖ°ß²¡,Bean Cercospora leaf spot
²Ë¶¹¸ù¸¯²¡,Bean Fusarium root-rot
²Ë¶¹¿İÎ®²¡,Bean Fusarium wilt
²Ë¶¹½Ç°ß²¡,Bean angular leaf spot
²Ë¶¹Ï¸¾úĞÔÒß²¡,Bean bacterial common blight
²Ë¶¹Ï¸¾úĞÔÔÎÒß²¡,Bean bacterial halo-blight
²Ë¶¹»¨Ò¶²¡,Bean virus disease
²Ë¶¹°ßµã²¡,Bean Phyllosticta leaf spot
²Ë¶¹°×·Û²¡,Bean powdery mildo
²Ë¶¹¸¯Ã¹²¡,Bean Pythium rot
²Ë¶¹ÎÛÃº²¡,Bean Cercospora leaf spot
²Ë¶¹¸ùÃ¹Èí¸¯²¡,Bean Rhizopus soft rot
²Ë¶¹(Á´¸ñæß)ºÚ°ß²¡,Bean Alternaria leaf spot
²Ë¶¹Ï¸¾úĞÔÒ¶°ß²¡,Bean bacterial leaf spot
Ï¡µãÑ©µÆ¶ê,White-wing blake-dotted moth
°×Ñ©µÆ¶ê,Snowy-white tiger moth
Ë«°ßÓ©Ò¶¼×,Double-spotted leaf beetle
°ßÇÊ¶¹Ò¶¼×,Bean leaf beetle
¶¹Ò¶òı,Sagami spider mite
½ØĞÎÒ¶òı,Ishil spider mite
ôø¶¹Òß²¡,Co¿ÉÊªĞÔ·Û¼Áea Phytophthora blight
ôø¶¹ÃºÃ¹²¡,Co¿ÉÊªĞÔ·Û¼Áea sooty blotch
