number,Chinese entity name,entity binomial scientific name,Chinese part,English part,Chinese relation,English relation
314,苹果花叶病,Apple mosaic virus,花叶型,Mosaic,危害部位,InflictHarmPart
315,苹果皱叶病,Apple leaf pucker,枝干,Branches,危害部位,InflictHarmPart
316,苹果皱叶病,Apple leaf pucker,叶片,blade,危害部位,InflictHarmPart
317,苹果皱叶病,Apple leaf pucker,花,flower,危害部位,InflictHarmPart
318,苹果皱叶病,Apple leaf pucker,果实,fruit,危害部位,InflictHarmPart
319,苹果扁枝病,Agrobacterium tumefaciens,枝干,Branches,危害部位,InflictHarmPart
320,苹果扁枝病,Agrobacterium tumefaciens,果实,fruit,危害部位,InflictHarmPart
321,苹果高接衰退病,Apple high - grafting decline,根部,Root,危害部位,InflictHarmPart
322,苹果高接衰退病,Apple high - grafting decline,茎部,Stem,危害部位,InflictHarmPart
323,苹果高接衰退病,Apple high - grafting decline,叶片,blade,危害部位,InflictHarmPart
324,苹果高接衰退病,Apple high - grafting decline,花朵,Flowers,危害部位,InflictHarmPart
325,苹果高接衰退病,Apple high - grafting decline,果实,fruit,危害部位,InflictHarmPart
326,苹果高接衰退病,Apple high - grafting decline,全株,Whole plant,危害部位,InflictHarmPart
327,苹果锈果病,Apple scar skin viroid,叶片,blade,危害部位,InflictHarmPart
328,苹果锈果病,Apple scar skin viroid,茎干,Stem,危害部位,InflictHarmPart
329,苹果锈果病,Apple scar skin viroid,果实,fruit,危害部位,InflictHarmPart
330,苹果褪绿叶斑病,Apple chlorotic leaf spot virus,叶片,blade,危害部位,InflictHarmPart
331,苹果褪绿叶斑病,Apple chlorotic leaf spot virus,果实,fruit,危害部位,InflictHarmPart
332,苹果根结线虫病,Meloidogyne spp.,根部,Root,危害部位,InflictHarmPart
333,苹果根结线虫病,Meloidogyne spp.,茎部,Stem,危害部位,InflictHarmPart
334,苹果根结线虫病,Meloidogyne spp.,叶片,blade,危害部位,InflictHarmPart
335,苹果根结线虫病,Meloidogyne spp.,果实,fruit,危害部位,InflictHarmPart
336,苹果根结线虫病,Meloidogyne spp.,全株,Whole plant,危害部位,InflictHarmPart
337,苹果树再植病,Apple replant disease,根部,Root,危害部位,InflictHarmPart
338,苹果树再植病,Apple replant disease,茎部,Stem,危害部位,InflictHarmPart
339,苹果树再植病,Apple replant disease,叶片,blade,危害部位,InflictHarmPart
340,苹果树再植病,Apple replant disease,全株,Whole plant,危害部位,InflictHarmPart
341,苹果小果病,Apple small fruit disease,枝干,Branches,危害部位,InflictHarmPart
342,苹果小果病,Apple small fruit disease,叶片,blade,危害部位,InflictHarmPart
343,苹果小果病,Apple small fruit disease,果实,fruit,危害部位,InflictHarmPart
344,苹果小果病,Apple small fruit disease,全株,Whole plant,危害部位,InflictHarmPart
345,苹果树粗皮病,Apple rough bark disease,枝干,Branches,危害部位,InflictHarmPart
346,苹果树粗皮病,Apple rough bark disease,叶片,blade,危害部位,InflictHarmPart
347,苹果树粗皮病,Apple rough bark disease,果实,fruit,危害部位,InflictHarmPart
348,苹果缺铁黄化症,Apple iron - deficiency chlorosis,枝干,Branches,危害部位,InflictHarmPart
349,苹果缺铁黄化症,Apple iron - deficiency chlorosis,叶片,blade,危害部位,InflictHarmPart
350,苹果苦痘症,Apple bitter pit,叶片,blade,危害部位,InflictHarmPart
351,苹果苦痘症,Apple bitter pit,果实,fruit,危害部位,InflictHarmPart
352,苹果软枝病,Apple soft shoot disease,枝干,Branches,危害部位,InflictHarmPart
353,苹果软枝病,Apple soft shoot disease,果实,fruit,危害部位,InflictHarmPart
354,苹果软枝病,Apple soft shoot disease,植株,Plant,危害部位,InflictHarmPart
355,苹果缺氮症,Apple nitrogen deficiency,枝干,Branches,危害部位,InflictHarmPart
356,苹果缺氮症,Apple nitrogen deficiency,叶片,blade,危害部位,InflictHarmPart
357,苹果缺氮症,Apple nitrogen deficiency,花器,Flower vases,危害部位,InflictHarmPart
358,苹果缺氮症,Apple nitrogen deficiency,果实,fruit,危害部位,InflictHarmPart
359,苹果缺钾症,Apple potassium deficiency,枝干,Branches,危害部位,InflictHarmPart
360,苹果缺钾症,Apple potassium deficiency,叶片,blade,危害部位,InflictHarmPart
361,苹果缺硼缩果症,Apple boron - deficiency fruit shrinkage,根部,Root,危害部位,InflictHarmPart
362,苹果缺硼缩果症,Apple boron - deficiency fruit shrinkage,枝叶,branches and leaves,危害部位,InflictHarmPart
363,苹果缺硼缩果症,Apple boron - deficiency fruit shrinkage,果实,fruit,危害部位,InflictHarmPart
364,苹果缺钙症,Apple calcium deficiency,根部,Root,危害部位,InflictHarmPart
365,苹果缺钙症,Apple calcium deficiency,叶片,blade,危害部位,InflictHarmPart
366,梨黑星病,Venturia pirina,枝干,Branches,危害部位,InflictHarmPart
367,梨树干枯病,Pear trunk blight,枝干,Branches,危害部位,InflictHarmPart
368,梨树干腐病,Botryosphaeria berengeriana f. sp. piricola,枝干,Branches,危害部位,InflictHarmPart
369,梨树干腐病,Botryosphaeria berengeriana f. sp. piricola,果实,fruit,危害部位,InflictHarmPart
370,梨火疫病,Erwinia amylovora,枝干,Branches,危害部位,InflictHarmPart
371,梨火疫病,Erwinia amylovora,叶片,blade,危害部位,InflictHarmPart
372,梨火疫病,Erwinia amylovora,花器,Flower vases,危害部位,InflictHarmPart
373,梨火疫病,Erwinia amylovora,果实,fruit,危害部位,InflictHarmPart
374,梨锈水病,Pear rusty water,枝干,Branches,危害部位,InflictHarmPart
375,梨锈水病,Pear rusty water,叶片,blade,危害部位,InflictHarmPart
376,梨锈水病,Pear rusty water,果实,fruit,危害部位,InflictHarmPart
377,梨锈病,Gymnosporangium haraeanum,叶片,blade,危害部位,InflictHarmPart
378,梨锈病,Gymnosporangium haraeanum,新梢,New shoots,危害部位,InflictHarmPart
379,梨锈病,Gymnosporangium haraeanum,果实,fruit,危害部位,InflictHarmPart
380,梨树疫病,Phytophthora cactorum,枝干,Branches,危害部位,InflictHarmPart
381,梨树疫病,Phytophthora cactorum,幼树,Saplings,危害部位,InflictHarmPart
382,梨炭疽病,Colletotrichum gloeosporioides,枝干,Branches,危害部位,InflictHarmPart
383,梨炭疽病,Colletotrichum gloeosporioides,叶片,blade,危害部位,InflictHarmPart
384,梨炭疽病,Colletotrichum gloeosporioides,果实,fruit,危害部位,InflictHarmPart
385,梨褐斑病,Mycosphaerella sentina,叶片,blade,危害部位,InflictHarmPart
386,梨褐斑病,Mycosphaerella sentina,果实,fruit,危害部位,InflictHarmPart
387,梨叶疫病,Phyllosticta pirina,枝干,Branches,危害部位,InflictHarmPart
388,梨叶疫病,Phyllosticta pirina,叶片,blade,危害部位,InflictHarmPart
389,梨叶疫病,Phyllosticta pirina,果实,fruit,危害部位,InflictHarmPart
390,梨叶疫病,Phyllosticta pirina,植株,Plant,危害部位,InflictHarmPart
391,梨轮纹病,Botryosphaeria berengeriana f. sp. piricola,枝干,Branches,危害部位,InflictHarmPart
392,梨轮纹病,Botryosphaeria berengeriana f. sp. piricola,叶片,blade,危害部位,InflictHarmPart
393,梨轮纹病,Botryosphaeria berengeriana f. sp. piricola,果实,fruit,危害部位,InflictHarmPart
394,梨黑斑病,Alternaria kikuchiana,枝干,Branches,危害部位,InflictHarmPart
395,梨黑斑病,Alternaria kikuchiana,叶片,blade,危害部位,InflictHarmPart
396,梨黑斑病,Alternaria kikuchiana,果实,fruit,危害部位,InflictHarmPart
397,梨黑腐病,Botryosphaeria obtusa,枝干,Branches,危害部位,InflictHarmPart
398,梨黑腐病,Botryosphaeria obtusa,叶片,blade,危害部位,InflictHarmPart
399,梨黑腐病,Botryosphaeria obtusa,果实,fruit,危害部位,InflictHarmPart
400,梨煤污病,Capnodium sp.,枝干,Branches,危害部位,InflictHarmPart
401,梨煤污病,Capnodium sp.,果实,fruit,危害部位,InflictHarmPart
402,梨白纹羽病,Rosellinia necatrix,根系,Root system,危害部位,InflictHarmPart
403,梨白纹羽病,Rosellinia necatrix,枝干,Branches,危害部位,InflictHarmPart
404,梨白纹羽病,Rosellinia necatrix,叶片,blade,危害部位,InflictHarmPart
405,梨白纹羽病,Rosellinia necatrix,果实,fruit,危害部位,InflictHarmPart
406,梨白纹羽病,Rosellinia necatrix,植株,Plant,危害部位,InflictHarmPart
407,梨紫纹羽病,Helicobasidium mompa,根系,Root system,危害部位,InflictHarmPart
408,梨紫纹羽病,Helicobasidium mompa,叶片,blade,危害部位,InflictHarmPart
409,梨紫纹羽病,Helicobasidium mompa,植株,Plant,危害部位,InflictHarmPart
410,梨根朽病,Armillaria mellea,根部,Root,危害部位,InflictHarmPart
411,梨树根腐病,Pear root rot,根部,Root,危害部位,InflictHarmPart
412,梨树根癌病,Agrobacterium tumefaciens,根颈,Root neck,危害部位,InflictHarmPart
413,梨树根癌病,Agrobacterium tumefaciens,枝干,Branches,危害部位,InflictHarmPart
414,梨树根癌病,Agrobacterium tumefaciens,叶片,blade,危害部位,InflictHarmPart
415,梨树根癌病,Agrobacterium tumefaciens,植株,Plant,危害部位,InflictHarmPart
416,梨石痘病,Pear stone pock,枝干,Branches,危害部位,InflictHarmPart
417,梨石痘病,Pear stone pock,叶片,blade,危害部位,InflictHarmPart
418,梨石痘病,Pear stone pock,果实,fruit,危害部位,InflictHarmPart
419,梨环纹花叶病,Pear ring pattern mosaic,叶部,Leaf,危害部位,InflictHarmPart
420,梨叶脉黄化病,Pear vein yellowing,枝干,Branches,危害部位,InflictHarmPart
421,梨叶脉黄化病,Pear vein yellowing,叶片,blade,危害部位,InflictHarmPart
422,梨叶脉黄化病,Pear vein yellowing,植株,Plant,危害部位,InflictHarmPart
423,梨根结线虫病,Meloidogyne spp.,根系,Root system,危害部位,InflictHarmPart
424,梨根结线虫病,Meloidogyne spp.,枝干,Branches,危害部位,InflictHarmPart
425,梨根结线虫病,Meloidogyne spp.,叶片,blade,危害部位,InflictHarmPart
426,梨根结线虫病,Meloidogyne spp.,花器,Flower vases,危害部位,InflictHarmPart
427,梨根结线虫病,Meloidogyne spp.,植株,Plant,危害部位,InflictHarmPart
428,梨细菌性花腐病,Pear bacterial blossom rot,叶片,blade,危害部位,InflictHarmPart
429,梨细菌性花腐病,Pear bacterial blossom rot,花器,Flower vases,危害部位,InflictHarmPart
430,梨裂果病,Pear fruit cracking,枝干,Branches,危害部位,InflictHarmPart
431,梨裂果病,Pear fruit cracking,叶片,blade,危害部位,InflictHarmPart
432,梨裂果病,Pear fruit cracking,果实,fruit,危害部位,InflictHarmPart
433,西瓜蔓枯病,Watermelon gummy stem blight,幼苗,seedling,危害部位,InflictHarmPart
434,西瓜蔓枯病,Watermelon gummy stem blight,成株,Adult plant,危害部位,InflictHarmPart
435,西瓜枯萎病,Watermelon Fusarium wilt,苗期,Seedling stage,危害部位,InflictHarmPart
436,西瓜枯萎病,Watermelon Fusarium wilt,成株,Adult plant,危害部位,InflictHarmPart
437,西瓜炭疽病,Colletotrichum gloeosporioides,幼苗,seedling,危害部位,InflictHarmPart
438,西瓜炭疽病,Colletotrophicum gloeosporioides,叶片,blade,危害部位,InflictHarmPart
439,西瓜炭疽病,Colletotrichum gloeosporioides,叶柄,Petiole,危害部位,InflictHarmPart
440,西瓜炭疽病,Colletotrichum gloeosporioides,果实,fruit,危害部位,InflictHarmPart
441,西瓜疫病,Phytophthora cactorum,叶片,blade,危害部位,InflictHarmPart
442,西瓜疫病,Phytophthora cactorum,茎蔓,Stem,危害部位,InflictHarmPart
443,西瓜疫病,Phytophthora cactorum,果实,fruit,危害部位,InflictHarmPart
444,西瓜叶枯病,Watermelon leaf blight,子叶,Cotyledon,危害部位,InflictHarmPart
445,西瓜叶枯病,Watermelon leaf blight,叶片,blade,危害部位,InflictHarmPart
446,西瓜叶枯病,Watermelon leaf blight,茎蔓,Stem,危害部位,InflictHarmPart
447,西瓜叶枯病,Watermelon leaf blight,果实,fruit,危害部位,InflictHarmPart
448,西瓜褐色腐败病,Watermelon brown rot,苗期,Seedling stage,危害部位,InflictHarmPart
449,西瓜褐色腐败病,Watermelon brown rot,叶片,blade,危害部位,InflictHarmPart
450,西瓜褐色腐败病,Watermelon brown rot,茎部,Stem,危害部位,InflictHarmPart
451,西瓜褐色腐败病,Watermelon brown rot,果实,fruit,危害部位,InflictHarmPart
452,西瓜褐腐病,Watermelon brown rot,叶片,blade,危害部位,InflictHarmPart
453,西瓜褐腐病,Watermelon Sclerotinia rot,果实,fruit,危害部位,InflictHarmPart
454,西瓜菌核病,Watermelon Sclerotinia rot,子叶,Cotyledon,危害部位,InflictHarmPart
455,西瓜菌核病,Xanthomonas cucurbitae,果实,fruit,危害部位,InflictHarmPart
456,西瓜细菌性角斑病,Xanthomonas cucurbitae,子叶,Cotyledon,危害部位,InflictHarmPart
457,西瓜细菌性角斑病,Xanthomonas cucurbitae,叶片,blade,危害部位,InflictHarmPart
458,西瓜细菌性角斑病,Xanthomonas cucurbitae,叶柄,Petiole,危害部位,InflictHarmPart
459,西瓜细菌性角斑病,Xanthomonas cucurbitae,果实,fruit,危害部位,InflictHarmPart
460,西瓜细菌性果斑病,Watermelon bacterial fruit blotch,子叶,Cotyledon,危害部位,InflictHarmPart
461,西瓜细菌性果斑病,Watermelon bacterial fruit blotch,叶片,blade,危害部位,InflictHarmPart
462,西瓜细菌性果斑病,Watermelon bacterial fruit blotch,果实,fruit,危害部位,InflictHarmPart
463,西瓜细菌性果斑病,Watermelon bacterial fruit blotch,瓜蔓,Melon vine,危害部位,InflictHarmPart
464,西瓜病毒病,Watermelon virus,花叶型,Mosaic,危害部位,InflictHarmPart
465,西瓜病毒病,Watermelon virus,蕨叶,Fern leaves,危害部位,InflictHarmPart
466,西瓜黑斑病,Watermelon black spot,叶片,blade,危害部位,InflictHarmPart
467,西瓜黑斑病,Watermelon black spot,果实,fruit,危害部位,InflictHarmPart
468,西瓜白绢病,Watermelon southern blight,茎基部,Stem base,危害部位,InflictHarmPart
469,西瓜白绢病,Watermelon southern blight,果实,fruit,危害部位,InflictHarmPart
470,甜瓜大斑病,Melon large spot,叶片,blade,危害部位,InflictHarmPart
471,甜瓜大斑病,Melon large spot,果实,fruit,危害部位,InflictHarmPart
472,甜瓜黑星病,Melon scab,叶,leaf,危害部位,InflictHarmPart
473,甜瓜黑星病,Melon scab,茎,stem,危害部位,InflictHarmPart
474,甜瓜霜霉病,Melon downy mildew,叶片,blade,危害部位,InflictHarmPart
475,甜瓜霜霉病,Melon downy mildew,瓜蔓,Melon vine,危害部位,InflictHarmPart
476,甜瓜疫病,Phytophthora cactorum,茎蔓,Stem,危害部位,InflictHarmPart
477,甜瓜疫病,Phytophthora cactorum,叶片,blade,危害部位,InflictHarmPart
478,甜瓜疫病,Phytophthora cactorum,果实,fruit,危害部位,InflictHarmPart
479,甜瓜炭疽病,Colletotrichum gloeosporioides,叶片,blade,危害部位,InflictHarmPart
480,甜瓜炭疽病,Colletotrichum gloeosporioides,茎和,Stem and,危害部位,InflictHarmPart
481,甜瓜炭疽病,Colletotrichum gloeosporioides,叶柄,Petiole,危害部位,InflictHarmPart
482,甜瓜炭疽病,Colletotrichum gloeosporioides,果实,fruit,危害部位,InflictHarmPart
483,甜瓜蔓枯病,Melon gummy stem blight,茎蔓,Stem,危害部位,InflictHarmPart
484,甜瓜蔓枯病,Melon gummy stem blight,叶片,blade,危害部位,InflictHarmPart
485,甜瓜蔓枯病,Melon gummy stem blight,果实,fruit,危害部位,InflictHarmPart
486,甜瓜病毒病,Melon virus,花叶型,Mosaic,危害部位,InflictHarmPart
487,甜瓜黑斑病,Melon black spot,叶片,blade,危害部位,InflictHarmPart
488,甜瓜黑斑病,Melon black spot,茎蔓,Stem,危害部位,InflictHarmPart
489,甜瓜黑斑病,Melon black spot,果实,fruit,危害部位,InflictHarmPart
490,甜瓜红粉病,Melon red powder,叶片,blade,危害部位,InflictHarmPart
491,甜瓜红粉病,Melon red powder,果实,fruit,危害部位,InflictHarmPart
492,甜瓜镰刀菌果腐病,Melon Fusarium fruit rot,瓜果,Fruits,危害部位,InflictHarmPart
493,甜瓜镰刀菌果腐病,Melon Fusarium fruit rot,茎蔓,Stem,危害部位,InflictHarmPart
494,甜瓜镰刀菌果腐病,Melon Fusarium fruit rot,叶柄,Petiole,危害部位,InflictHarmPart
495,甜瓜细菌性角斑病,Xanthomonas cucurbitae,叶片,blade,危害部位,InflictHarmPart
496,甜瓜细菌性角斑病,Xanthomonas cucurbitae,叶柄,Petiole,危害部位,InflictHarmPart
497,甜瓜细菌性角斑病,Xanthomonas cucurbitae,卷须,tendril,危害部位,InflictHarmPart
498,甜瓜细菌性角斑病,Xanthomonas cucurbitae,果实,fruit,危害部位,InflictHarmPart
499,苹果树腐烂病,Apple tree canker,枝干,Branches,危害部位,InflictHarmPart
500,苹果树腐烂病,Apple tree canker,果实,fruit,危害部位,InflictHarmPart
501,豌豆炭疽病,Colletotrichum pisi,叶片,blade,危害部位,InflictHarmPart
502,豌豆炭疽病,Colletotrichum pisi,茎蔓,Stem,危害部位,InflictHarmPart
503,豌豆炭疽病,Colletotrichum pisi,豆荚,pod,危害部位,InflictHarmPart
504,豌豆细菌性叶斑病,Pseudomonas syringae pv. pisi,叶片,blade,危害部位,InflictHarmPart
505,豌豆细菌性叶斑病,Pseudomonas syringae pv. pisi,茎部,Stem,危害部位,InflictHarmPart
506,豌豆细菌性叶斑病,Pseudomonas syringae pv. pisi,花梗,Pedicels,危害部位,InflictHarmPart
507,扁豆炭疽病,Colletotrichum lindemuthianum,子叶,Cotyledon,危害部位,InflictHarmPart
508,扁豆炭疽病,Colletotrichum lindemuthianum,叶片,blade,危害部位,InflictHarmPart
509,扁豆炭疽病,Colletotrichum lindemuthianum,叶柄,Petiole,危害部位,InflictHarmPart
510,扁豆炭疽病,Colletotrichum lindemuthianum,茎蔓,Stem,危害部位,InflictHarmPart
511,扁豆炭疽病,Colletotrichum lindemuthianum,豆荚,pod,危害部位,InflictHarmPart
512,扁豆细菌性疫病,Xanthomonas campestris pv. phaseoli,幼苗,seedling,危害部位,InflictHarmPart
513,扁豆细菌性疫病,Xanthomonas campestris pv. phaseoli,成株,Adult plant,危害部位,InflictHarmPart
514,扁豆细菌性疫病,Xanthomonas campestris pv. phaseoli,茎部,Stem,危害部位,InflictHarmPart
515,扁豆细菌性疫病,Xanthomonas campestris pv. phaseoli,豆荚,pod,危害部位,InflictHarmPart
516,扁豆红斑病,Phaseolus vulgaris red spot,叶片,blade,危害部位,InflictHarmPart
517,扁豆红斑病,Phaseolus vulgaris red spot,豆荚,pod,危害部位,InflictHarmPart
518,蚕豆褐斑病,Vicia faba brown spot,叶部,Leaf,危害部位,InflictHarmPart
519,蚕豆枯萎病,Fusarium oxysporum f. sp. fabae,叶片,blade,危害部位,InflictHarmPart
520,蚕豆枯萎病,Fusarium oxysporum f. sp. fabae,茎基,Stem base,危害部位,InflictHarmPart
521,蚕豆枯萎病,Fusarium oxysporum f. sp. fabae,根系,Root system,危害部位,InflictHarmPart
522,蚕豆炭疽病,Colletotrichum lindemuthianum,叶片,blade,危害部位,InflictHarmPart
523,蚕豆炭疽病,Colletotrichum lindemuthianum,茎杆,Stem,危害部位,InflictHarmPart
524,蚕豆炭疽病,Colletotrichum lindemuthianum,叶柄,Petiole,危害部位,InflictHarmPart
525,蚕豆炭疽病,Colletotrichum lindemuthianum,豆荚,pod,危害部位,InflictHarmPart
526,蚕豆轮纹病,Vicia faba ring spot,叶片,blade,危害部位,InflictHarmPart
527,蚕豆轮纹病,Vicia faba ring spot,叶柄,Petiole,危害部位,InflictHarmPart
528,蚕豆轮纹病,Vicia faba ring spot,豆荚,pod,危害部位,InflictHarmPart
529,蚕豆立枯病,Vicia faba damping-off,茎基,Stem base,危害部位,InflictHarmPart
530,蚕豆立枯病,Vicia faba damping-off,籽粒,Grains,危害部位,InflictHarmPart
531,蚕豆叶烧病,Vicia faba damping-off,叶片,blade,危害部位,InflictHarmPart
532,蚕豆叶烧病,Vicia faba leaf scorch,叶柄,Petiole,危害部位,InflictHarmPart
533,蚕豆叶烧病,Vicia faba leaf scorch,茎部,Stem,危害部位,InflictHarmPart
534,莲藕尾孢褐斑病,Vicia faba leaf scorch,叶片,blade,危害部位,InflictHarmPart
535,莲藕褐纹病,Cercospora nelumbonis,叶片,blade,危害部位,InflictHarmPart
536,莲藕炭疽病,Nelumbo nucifera brown stripe,叶片,blade,危害部位,InflictHarmPart
537,茭白瘟病,Nelumbo nucifera anthracnose,叶片,blade,危害部位,InflictHarmPart
538,茭白瘟病,Zizania latifolia blast,叶鞘,Leaf sheath,危害部位,InflictHarmPart
539,茭白胡麻斑病,Zizania latifolia blast,叶片,blade,危害部位,InflictHarmPart
540,茭白胡麻斑病,Zizania latifolia sesame spot,叶鞘,Leaf sheath,危害部位,InflictHarmPart
541,茭白黑粉病,Zizania latifolia sesame spot,叶片,blade,危害部位,InflictHarmPart
542,茭白黑粉病,Ustilago esculenta,叶鞘,Leaf sheath,危害部位,InflictHarmPart
543,茭白黑粉病,Ustilago esculenta,茭肉,Wild Rice,危害部位,InflictHarmPart
544,佛手瓜蔓枯病,Ustilago esculenta,叶片,blade,危害部位,InflictHarmPart
545,佛手瓜蔓枯病,Sechium edule gummy stem blight,茎蔓,Stem,危害部位,InflictHarmPart
546,佛手瓜蔓枯病,Sechium edule gummy stem blight,果实,fruit,危害部位,InflictHarmPart
547,苦瓜炭疽病,Sechium edule gummy stem blight,幼苗,seedling,危害部位,InflictHarmPart
548,苦瓜炭疽病,Colletotrichum orbiculare,成株,Adult plant,危害部位,InflictHarmPart
549,苦瓜疫病,Colletotrichum orbiculare,叶片,blade,危害部位,InflictHarmPart
550,苦瓜疫病,Phytophthora capsici,茎基,Stem base,危害部位,InflictHarmPart
551,苦瓜疫病,Phytophthora capsici,瓜条,Melon Strips,危害部位,InflictHarmPart
552,苦瓜菌核病,Phytophthora capsici,茎蔓,Stem,危害部位,InflictHarmPart
553,苦瓜蔓枯病,Sclerotinia sclerotiorum,瓜蔓,Melon vine,危害部位,InflictHarmPart
554,苦瓜蔓枯病,Momordica charantia gummy stem blight,叶片,blade,危害部位,InflictHarmPart
555,苦瓜蔓枯病,Momordica charantia gummy stem blight,果实,fruit,危害部位,InflictHarmPart
556,苦瓜细菌性角斑病,Momordica charantia gummy stem blight,叶片,blade,危害部位,InflictHarmPart
557,苦瓜细菌性角斑病,Pseudomonas syringae pv. lachrymans,茎,stem,危害部位,InflictHarmPart
558,苦瓜细菌性角斑病,Pseudomonas syringae pv. lachrymans,果实,fruit,危害部位,InflictHarmPart
559,菜豆红斑病,Pseudomonas syringae pv. lachrymans,叶片,blade,危害部位,InflictHarmPart
560,菜豆红斑病,Phaseolus vulgaris red spot,豆荚,pod,危害部位,InflictHarmPart
561,菜豆灰霉病,Phaseolus vulgaris red spot,苗期,Seedling stage,危害部位,InflictHarmPart
562,菜豆灰霉病,Botrytis cinerea,叶片,blade,危害部位,InflictHarmPart
563,菜豆灰霉病,Botrytis cinerea,根茎,rhizome,危害部位,InflictHarmPart
564,菜豆灰霉病,Botrytis cinerea,豆荚,pod,危害部位,InflictHarmPart
565,菜豆炭疽病,Botrytis cinerea,子叶,Cotyledon,危害部位,InflictHarmPart
566,菜豆炭疽病,Colletotrichum lindemuthianum,叶片,blade,危害部位,InflictHarmPart
567,菜豆炭疽病,Colletotrichum lindemuthianum,叶柄,Petiole,危害部位,InflictHarmPart
568,菜豆炭疽病,Colletotrichum lindemuthianum,茎部,Stem,危害部位,InflictHarmPart
569,菜豆炭疽病,Colletotrichum lindemuthianum,豆荚,pod,危害部位,InflictHarmPart
570,菜豆炭疽病,Colletotrichum lindemuthianum,种子,seed,危害部位,InflictHarmPart
571,菜豆枯萎病,Colletotrichum lindemuthianum,叶片,blade,危害部位,InflictHarmPart
572,菜豆枯萎病,Fusarium oxysporum f. sp. phaseoli,根、茎,rhizome,危害部位,InflictHarmPart
573,菜豆细菌性疫病,Fusarium oxysporum f. sp. phaseoli,幼苗,seedling,危害部位,InflictHarmPart
574,菜豆细菌性疫病,Xanthomonas campestris pv. phaseoli,叶片,blade,危害部位,InflictHarmPart
575,菜豆细菌性疫病,Xanthomonas campestris pv. phaseoli,茎蔓,Stem,危害部位,InflictHarmPart
576,菜豆细菌性疫病,Xanthomonas campestris pv. phaseoli,豆荚,pod,危害部位,InflictHarmPart
577,菜豆细菌性疫病,Xanthomonas campestris pv. phaseoli,种子,seed,危害部位,InflictHarmPart
578,菜豆细菌性晕疫病,Xanthomonas campestris pv. phaseoli,叶片,blade,危害部位,InflictHarmPart
579,菜豆细菌性晕疫病,Phaseolus vulgaris bacterial halo blight,茎部,Stem,危害部位,InflictHarmPart
580,菜豆细菌性晕疫病,Phaseolus vulgaris bacterial halo blight,果荚,Fruit Pods,危害部位,InflictHarmPart
581,菜豆花叶病,Phaseolus vulgaris bacterial halo blight,叶片,blade,危害部位,InflictHarmPart
582,菜豆花叶病,Phaseolus vulgaris mosaic,豆荚,pod,危害部位,InflictHarmPart
583,菜豆花叶病,Phaseolus vulgaris mosaic,植株,Plant,危害部位,InflictHarmPart
584,菜豆细菌性叶斑病,Phaseolus vulgaris mosaic,叶片,blade,危害部位,InflictHarmPart
585,菜豆细菌性叶斑病,Phaseolus vulgaris bacterial leaf spot,茎和,Stem and,危害部位,InflictHarmPart
586,菜豆细菌性叶斑病,Phaseolus vulgaris bacterial leaf spot,叶柄,Petiole,危害部位,InflictHarmPart
587,菜豆细菌性叶斑病,Phaseolus vulgaris bacterial leaf spot,种子,seed,危害部位,InflictHarmPart
588,豇豆疫病,Phytophthora vignae,根颈,Root neck,危害部位,InflictHarmPart
589,豇豆疫病,Phytophthora vignae,蔓茎,Vines,危害部位,InflictHarmPart
590,豇豆疫病,Phytophthora vignae,叶片,blade,危害部位,InflictHarmPart
591,豇豆疫病,Phytophthora vignae,叶柄,Petiole,危害部位,InflictHarmPart
592,豇豆疫病,Phytophthora vignae,花梗,Pedicels,危害部位,InflictHarmPart
593,豇豆疫病,Phytophthora vignae,豆荚,pod,危害部位,InflictHarmPart
594,豇豆枯萎病,Fusarium oxysporum f. sp. vignae,叶片,blade,危害部位,InflictHarmPart
595,豇豆枯萎病,Fusarium oxysporum f. sp. vignae,根茎,rhizome,危害部位,InflictHarmPart
596,豇豆锈病,Uromyces vignae,叶片,blade,危害部位,InflictHarmPart
597,豇豆锈病,Uromyces vignae,叶脉,vein,危害部位,InflictHarmPart
598,豇豆基腐病,Cowpea basal rot,子叶,Cotyledon,危害部位,InflictHarmPart
599,豇豆基腐病,Cowpea basal rot,茎基,Stem base,危害部位,InflictHarmPart
600,豇豆灰霉病,Botrytis cinerea,茎蔓,Stem,危害部位,InflictHarmPart
601,豇豆灰霉病,Botrytis cinerea,叶片,blade,危害部位,InflictHarmPart
602,豇豆灰霉病,Botrytis cinerea,豆荚,pod,危害部位,InflictHarmPart
603,豇豆细菌性疫病,Xanthomonas campestris pv. vignae,叶片,blade,危害部位,InflictHarmPart
604,豇豆细菌性疫病,Xanthomonas campestris pv. vignae,茎蔓,Stem,危害部位,InflictHarmPart
605,豇豆细菌性疫病,Xanthomonas campestris pv. vignae,豆荚,pod,危害部位,InflictHarmPart
606,豇豆炭疽病,Colletotrichum lindemuthianum,苗期,Seedling stage,危害部位,InflictHarmPart
607,豇豆炭疽病,Colletotrichum lindemuthianum,叶片,blade,危害部位,InflictHarmPart
608,豇豆炭疽病,Colletotrichum lindemuthianum,茎部,Stem,危害部位,InflictHarmPart
609,豇豆轮纹病,Cowpea ring pattern,叶片,blade,危害部位,InflictHarmPart
610,豇豆轮纹病,Cowpea ring pattern,茎蔓,Stem,危害部位,InflictHarmPart
611,豇豆轮纹病,Cowpea ring pattern,豆荚,pod,危害部位,InflictHarmPart
