number,Chinese entity name,entity binomial scientific name,Chinese sym,English sym,Chinese relation,English relation
1490,桃细菌性穿孔病,Xanthomonas arboricola,边缘水渍状,Edge water stains,存在症状,ManifestAs
1491,桃细菌性穿孔病,Xanthomonas arboricola,黄白色粘质分泌物,Yellowish white sticky discharge,存在症状,ManifestAs
1492,桃细菌性穿孔病,Xanthomonas arboricola,小裂纹,Small cracks,存在症状,ManifestAs
1493,桃细菌性穿孔病,Xanthomonas arboricola,不规则大裂纹,Irregular large cracks,存在症状,ManifestAs
1494,桃白粉病,Podosphaera leucotricha,白色菌丝,White mycelium,存在症状,ManifestAs
1495,桃白粉病,Podosphaera leucotricha,近圆形或不定形白色霉点,Nearly round or amorphous white mildew spots,存在症状,ManifestAs
1496,桃白粉病,Podosphaera leucotricha,白色粉斑,White powdery spots,存在症状,ManifestAs
1497,桃白粉病,Podosphaera leucotricha,叶片褪黄,Yellowing of leaves,存在症状,ManifestAs
1498,桃白粉病,Podosphaera leucotricha,干枯脱落,Dry and fall off,存在症状,ManifestAs
1499,桃白粉病,Podosphaera leucotricha,现白色圆形或不规则形的菌丝,White round or irregular hyphae,存在症状,ManifestAs
1500,桃白粉病,Podosphaera leucotricha,成浅褐色病,Light brown disease,存在症状,ManifestAs
1501,桃树非侵染性流胶病,Bacterial canker,半透明黄色树胶,Translucent yellow gum,存在症状,ManifestAs
1502,桃树非侵染性流胶病,Bacterial canker,呈胶冻状,Jelly,存在症状,ManifestAs
1503,桃树非侵染性流胶病,Bacterial canker,红褐色至茶褐色的坚硬胶块,Reddish brown to dark brown hard rubber block,存在症状,ManifestAs
1504,桃树非侵染性流胶病,Bacterial canker,木质部变褐腐烂,Wood turns brown and rots,存在症状,ManifestAs
1505,桃树非侵染性流胶病,Bacterial canker,叶片变黄,Yellowing of leaves,存在症状,ManifestAs
1506,桃树非侵染性流胶病,Bacterial canker,黄色胶质,Yellow colloid,存在症状,ManifestAs
1507,桃树非侵染性流胶病,Bacterial canker,病部硬化,Hardening of diseased part,存在症状,ManifestAs
1508,桃树侵染性流胶病,Botryosphaeria dothidea,稍隆起的疤斑,Slightly raised scar,存在症状,ManifestAs
1509,桃树侵染性流胶病,Botryosphaeria dothidea,皮层变褐坏死,Browning and necrosis of the cortex,存在症状,ManifestAs
1510,桃树侵染性流胶病,Botryosphaeria dothidea,黄色胶质,Yellow colloid,存在症状,ManifestAs
1511,桃树侵染性流胶病,Botryosphaeria dothidea,病部硬化,Hardening of diseased part,存在症状,ManifestAs
1512,桃煤污病,Capnodium salicinum,污褐色圆形或不规则形霉点,Dirty brown round or irregular mold spots,存在症状,ManifestAs
1513,桃煤污病,Capnodium salicinum,煤烟状黑色霉层,Sooty black mold,存在症状,ManifestAs
1514,桃煤污病,Capnodium salicinum,灰褐色污斑,Gray-brown stains,存在症状,ManifestAs
1515,桃煤污病,Capnodium salicinum,黑色霉层,Black mold layer,存在症状,ManifestAs
1516,桃煤污病,Capnodium salicinum,叶片提早脱落,Early leaf fall,存在症状,ManifestAs
1517,桃煤污病,Capnodium salicinum,黑色煤烟状物,Black soot,存在症状,ManifestAs
1518,桃褪绿叶斑病,Cladosporium carpophilum,暗绿色,Dark green,存在症状,ManifestAs
1519,桃褪绿叶斑病,Cladosporium carpophilum,凹陷斑点或波纹,Sunken spots or ripples,存在症状,ManifestAs
1520,桃褪绿叶斑病,Cladosporium carpophilum,黑褐色坏死线纹,Dark brown necrotic lines,存在症状,ManifestAs
1521,桃褪绿叶斑病,Cladosporium carpophilum,凹陷条纹,Depression stripes,存在症状,ManifestAs
1522,桃褪绿叶斑病,Cladosporium carpophilum,产生褪绿,Chlorosis,存在症状,ManifestAs
1523,桃褪绿叶斑病,Cladosporium carpophilum,弯曲呈舟形或匙形,The curve is boat-shaped or spoon-shaped,存在症状,ManifestAs
1524,苹毛虫,Ostrinia nubilalis,孔洞和缺刻,Holes and Notches,存在症状,ManifestAs
1525,苹毛虫,Ostrinia nubilalis,叶片吃光仅留叶柄,The leaves are eaten up and only the petioles are left,存在症状,ManifestAs
1526,桃树木腐病,Schizophyllum commune,木质腐朽,Wood decay,存在症状,ManifestAs
1527,桃树木腐病,Schizophyllum commune,呈轮纹状,Wheel-shaped,存在症状,ManifestAs
1528,桃树木腐病,Schizophyllum commune,白色疏松,White loose,存在症状,ManifestAs
1529,桃树木腐病,Schizophyllum commune,质软而脆,Soft and brittle,存在症状,ManifestAs
1530,桃树木腐病,Schizophyllum commune,叶发黄早落,Leaves turn yellow and fall early,存在症状,ManifestAs
1531,桃树根朽病,Armillaria mellea,白色或浅黄色的菌丝,White or light yellow mycelium,存在症状,ManifestAs
1532,桃树根朽病,Armillaria mellea,蘑菇气味,Mushroom smell,存在症状,ManifestAs
1533,桃树根朽病,Armillaria mellea,蘑菇,mushroom,存在症状,ManifestAs
1534,桃树根朽病,Armillaria mellea,很浓的腥味,Very strong fishy smell,存在症状,ManifestAs
1535,桃树根朽病,Armillaria mellea,马蹄形或扇形子实体,Horseshoe or fan-shaped fruiting body,存在症状,ManifestAs
1536,桃树根朽病,Armillaria mellea,叶片发黄,Yellowing leaves,存在症状,ManifestAs
1537,桃树根朽病,Armillaria mellea,提早脱落,Early shedding,存在症状,ManifestAs
1538,桃褐腐病,Monilinia fructicola,病斑长圆形,Lesion oblong,存在症状,ManifestAs
1539,桃褐腐病,Monilinia fructicola,边缘紫褐色,Edge purple brown,存在症状,ManifestAs
1540,桃褐腐病,Monilinia fructicola,圆形褐色水烫状斑点,Round brown scald spots,存在症状,ManifestAs
1541,桃褐腐病,Monilinia fructicola,边缘绿褐色,Greenish brown edge,存在症状,ManifestAs
1542,桃褐腐病,Monilinia fructicola,中部黄褐色,Middle yellowish brown,存在症状,ManifestAs
1543,桃褐腐病,Monilinia fructicola,深浅相间的轮纹,Light and dark wheel patterns,存在症状,ManifestAs
1544,桃褐腐病,Monilinia fructicola,全叶枯萎,All leaves wither,存在症状,ManifestAs
1545,桃褐腐病,Monilinia fructicola,呈褐色水渍状斑点,Brown water-stained spots,存在症状,ManifestAs
1546,桃褐腐病,Monilinia fructicola,花朵成喇叭状,Trumpet-shaped flowers,存在症状,ManifestAs
1547,桃褐腐病,Monilinia fructicola,花瓣顶部变褐,The tops of the petals turn brown,存在症状,ManifestAs
1548,桃褐腐病,Monilinia fructicola,花柱肿大畸形,Swelling and deformity of the style,存在症状,ManifestAs
1549,桃褐腐病,Monilinia fructicola,花芽松散干枯,Flower buds loose and dry,存在症状,ManifestAs
1550,桃褐腐病,Monilinia fructicola,圆形小病斑,Small round lesions,存在症状,ManifestAs
1551,桃褐腐病,Monilinia fructicola,粉状小球,Powdered pellets,存在症状,ManifestAs
1552,桃褐腐病,Monilinia fructicola,呈同心轮纹排列,Arranged in concentric rings,存在症状,ManifestAs
1553,桃曲霉病,Aspergillus niger,淡褐色,Light brown,存在症状,ManifestAs
1554,桃曲霉病,Aspergillus niger,水浸状的病斑,Water-soaked lesions,存在症状,ManifestAs
1555,桃曲霉病,Aspergillus niger,白色菌丛,White fungus,存在症状,ManifestAs
1556,桃褐锈病,Puccinia persicae,淡褐色病斑,Light brown spots,存在症状,ManifestAs
1557,桃褐锈病,Puccinia persicae,小圆形褐色疱疹状斑点,Small round brown herpes-like spots,存在症状,ManifestAs
1558,桃褐锈病,Puccinia persicae,黄褐色粉末,Brown powder,存在症状,ManifestAs
1559,桃褐锈病,Puccinia persicae,红黄色,Red and yellow,存在症状,ManifestAs
1560,桃褐锈病,Puccinia persicae,周缘不明显的病斑,Lesions with unclear margins,存在症状,ManifestAs
1561,桃褐锈病,Puccinia persicae,深栗色或黑褐色斑点,Dark chestnut or dark brown spots,存在症状,ManifestAs
1562,桃褐锈病,Puccinia persicae,叶片常枯黄脱落,Leaves often turn yellow and fall off,存在症状,ManifestAs
1563,桃褐锈病,Puccinia persicae,果实病斑成褐色至浓褐色,Fruit lesions are brown to dark brown,存在症状,ManifestAs
1564,桃褐锈病,Puccinia persicae,椭圆形,Oval,存在症状,ManifestAs
1565,桃褐锈病,Puccinia persicae,深的裂纹,Deep cracks,存在症状,ManifestAs
1566,桃白锈病,Pseudocercosporella persicae,浅绿色至淡黄色,Light green to light yellow,存在症状,ManifestAs
1567,桃白锈病,Pseudocercosporella persicae,多角形至不整形,Polygonal to irregular,存在症状,ManifestAs
1568,桃白锈病,Pseudocercosporella persicae,浅褐色的粉状夏孢子堆,Light brown powdery summer spore pile,存在症状,ManifestAs
1569,桃软腐病,Erwinia amylovora,茶褐色小斑点,Small brown spots,存在症状,ManifestAs
1570,桃软腐病,Erwinia amylovora,长有浓密的白色细,Thick white hair,存在症状,ManifestAs
1571,桃软腐病,Erwinia amylovora,生出黑色,Give birth to black,存在症状,ManifestAs
1572,桃灰霉病,Botrytis cinerea,褐色病斑,Brown spots,存在症状,ManifestAs
1573,桃灰霉病,Botrytis cinerea,鼠灰色霉层,Mouse gray mold layer,存在症状,ManifestAs
1574,桃灰霉病,Botrytis cinerea,叶片不脱落,Leaves do not fall off,存在症状,ManifestAs
1575,桃灰霉病,Botrytis cinerea,长出淡灰色霉层,Light gray mold,存在症状,ManifestAs
1576,桃灰霉病,Botrytis cinerea,初为暗绿色凹陷,Initially dark green depression,存在症状,ManifestAs
1577,桃灰霉病,Botrytis cinerea,使幼果凹凸,Make the young fruit bumpy,存在症状,ManifestAs
1578,桃灰霉病,Botrytis cinerea,褐色凹陷腐烂病斑,Brown sunken rot spots,存在症状,ManifestAs
1579,桃灰霉病,Botrytis cinerea,黑色块状菌核,Black blocky sclerotia,存在症状,ManifestAs
1580,桃白纹羽病,Rosellinia necatrix,近圆形褐色病斑,Nearly circular brown spots,存在症状,ManifestAs
1581,桃白纹羽病,Rosellinia necatrix,呈水渍状腐烂,Water-soaked rot,存在症状,ManifestAs
1582,桃白纹羽病,Rosellinia necatrix,蘑菇味的黄褐色汁液,Mushroom-flavored brown juice,存在症状,ManifestAs
1583,桃白纹羽病,Rosellinia necatrix,木质部枯朽,Xylem decay,存在症状,ManifestAs
1584,桃白纹羽病,Rosellinia necatrix,灰褐色或棕褐色,Gray or tan,存在症状,ManifestAs
1585,桃白纹羽病,Rosellinia necatrix,扇状或芒,Fan-shaped or awn,存在症状,ManifestAs
1586,桃白纹羽病,Rosellinia necatrix,黑色小型菌核,Small black sclerotium,存在症状,ManifestAs
1587,桃白纹羽病,Rosellinia necatrix,树枝过分衰弱,Excessive weakness of branches,存在症状,ManifestAs
1588,桃白纹羽病,Rosellinia necatrix,叶变黄,Leaves turning yellow,存在症状,ManifestAs
1589,桃树白绢病,Sclerotium rolfsii,白色菌丝,White mycelium,存在症状,ManifestAs
1590,桃树白绢病,Sclerotium rolfsii,水渍状褐色病斑,Water-soaked brown spots,存在症状,ManifestAs
1591,桃树白绢病,Sclerotium rolfsii,皮层腐烂,Cortical rot,存在症状,ManifestAs
1592,桃树白绢病,Sclerotium rolfsii,溢出褐色汁液,Brown juice spilling,存在症状,ManifestAs
1593,桃树白绢病,Sclerotium rolfsii,棕褐色或茶褐色油莱籽状的菌核,Brown or tea brown rapeseed-like sclerotia,存在症状,ManifestAs
1594,桃树白绢病,Sclerotium rolfsii,枝条节间缩短,Shortened internodes,存在症状,ManifestAs
1595,桃树白绢病,Sclerotium rolfsii,叶片变小发黄,Leaves become smaller and yellower,存在症状,ManifestAs
1596,桃树白绢病,Sclerotium rolfsii,结果多而小,Many but small results,存在症状,ManifestAs
1597,桃树白绢病,Sclerotium rolfsii,茎基部皮层腐烂,Cortical rot at the base of the stem,存在症状,ManifestAs
1598,桃树白绢病,Sclerotium rolfsii,全株呈青枯状枯死,The whole plant withered and died,存在症状,ManifestAs
1599,桃红粉病,Podosphaera pannosa,果实病斑圆形,Fruit spots are round,存在症状,ManifestAs
1600,桃红粉病,Podosphaera pannosa,呈凹陷腐烂状,Concave and rotten,存在症状,ManifestAs
1601,桃红粉病,Podosphaera pannosa,烂果肉粉红色,Rotten flesh pink,存在症状,ManifestAs
1602,桃红粉病,Podosphaera pannosa,粉红色霉层,Pink mildew layer,存在症状,ManifestAs
1603,桃红粉病,Podosphaera pannosa,霉层略呈轮纹状,The mold layer is slightly ring-shaped,存在症状,ManifestAs
1604,桃红粉病,Podosphaera pannosa,全果腐烂,Whole fruit rot,存在症状,ManifestAs
1605,桃根癌病,Agrobacterium tumefaciens,根瘤大而硬,Large and hard nodules,存在症状,ManifestAs
1606,桃根癌病,Agrobacterium tumefaciens,木质化,Lignification,存在症状,ManifestAs
1607,桃根癌病,Agrobacterium tumefaciens,球形或扁球形,Spherical or oblate,存在症状,ManifestAs
1608,桃根癌病,Agrobacterium tumefaciens,乳白色或略带红色,Milky white or slightly red,存在症状,ManifestAs
1609,桃根癌病,Agrobacterium tumefaciens,表面粗糙或凹凸不平,Rough or uneven surface,存在症状,ManifestAs
1610,桃潜隐花叶病,Mycoplasma laidlawii,大而深的条纹,"Large, dark stripes",存在症状,ManifestAs
1611,桃潜隐花叶病,Mycoplasma laidlawii,白色或黄色奶油状的花叶或印花状病斑,White or yellow creamy mosaic or printed lesions,存在症状,ManifestAs
1612,桃潜隐花叶病,Mycoplasma laidlawii,褪绿斑驳,Chlorotic mottled,存在症状,ManifestAs
1613,桃潜隐花叶病,Mycoplasma laidlawii,边缘坏死的花叶症状,Mosaic symptoms of marginal necrosis,存在症状,ManifestAs
1614,桃潜隐花叶病,Mycoplasma laidlawii,紫色裂纹,Purple Crack,存在症状,ManifestAs
1615,桃潜隐花叶病,Mycoplasma laidlawii,果缝木栓化,Fruit seam corking,存在症状,ManifestAs
1616,桃潜隐花叶病,Mycoplasma laidlawii,植株呈光秃状,The plant is bare,存在症状,ManifestAs
1617,桃树红叶病,Cercospora circumscissa,叶面粉红色,Pink leaves,存在症状,ManifestAs
1618,桃树红叶病,Cercospora circumscissa,黄化或脉间失绿,Yellowing or interveinal chlorosis,存在症状,ManifestAs
1619,桃树红叶病,Cercospora circumscissa,不规则的穿孔,Irregular perforations,存在症状,ManifestAs
1620,桃树红叶病,Cercospora circumscissa,红化症或红斑,Erythrosis or erythema,存在症状,ManifestAs
1621,桃坏死环斑病,Prunus necrotic ringspot virus,初春叶片褪绿,Early spring leaf chlorosis,存在症状,ManifestAs
1622,桃坏死环斑病,Prunus necrotic ringspot virus,褪绿环斑,Chlorotic ring spot,存在症状,ManifestAs
1623,桃坏死环斑病,Prunus necrotic ringspot virus,坏死穿孔或流胶,"Necrosis, perforation or oozing of glue",存在症状,ManifestAs
1624,桃坏死环斑病,Prunus necrotic ringspot virus,病果不着色或着色差,Diseased fruit has no color or poor coloration,存在症状,ManifestAs
1625,桃园根结线虫病,Meloidogyne,白色至黄白,White to yellowish white,存在症状,ManifestAs
1626,桃园根结线虫病,Meloidogyne,瘤呈节结状或鸡爪状,Tumors are nodular or chicken claw-shaped,存在症状,ManifestAs
1627,桃园根结线虫病,Meloidogyne,黄褐色,tan,存在症状,ManifestAs
1628,桃园根结线虫病,Meloidogyne,表面粗糙,Rough surface,存在症状,ManifestAs
1629,桃园根结线虫病,Meloidogyne,少梢短而纤细,Short and slender tips,存在症状,ManifestAs
1630,桃瘿螨畸果病,Eriophyes pyri,枝条死芽,Dead buds,存在症状,ManifestAs
1631,桃瘿螨畸果病,Eriophyes pyri,呈失水状,Dehydrated,存在症状,ManifestAs
1632,桃瘿螨畸果病,Eriophyes pyri,芽小而干瘪,Small and shriveled buds,存在症状,ManifestAs
1633,桃瘿螨畸果病,Eriophyes pyri,芽尖为褐色,Brown bud tip,存在症状,ManifestAs
1634,桃瘿螨畸果病,Eriophyes pyri,形成退绿色斑,Green spots formed,存在症状,ManifestAs
1635,桃瘿螨畸果病,Eriophyes pyri,叶片向正面纵卷,Leaves roll vertically toward the front,存在症状,ManifestAs
1636,桃瘿螨畸果病,Eriophyes pyri,叶片枯黄坠落,Leaves turn yellow and fall,存在症状,ManifestAs
1637,桃瘿螨畸果病,Eriophyes pyri,干斑穿孔,Dry spot perforation,存在症状,ManifestAs
1638,桃瘿螨畸果病,Eriophyes pyri,有果无叶,Fruit without leaves,存在症状,ManifestAs
1639,桃瘿螨畸果病,Eriophyes pyri,出现不规则暗绿色,Irregular dark green,存在症状,ManifestAs
1640,桃瘿螨畸果病,Eriophyes pyri,出现深绿色凹陷,Dark green depression appears,存在症状,ManifestAs
1641,桃瘿螨畸果病,Eriophyes pyri,着色不匀的猴头状,Unevenly colored hericium,存在症状,ManifestAs
1642,桃瘿螨畸果病,Eriophyes pyri,果肉深绿色,Dark green flesh,存在症状,ManifestAs
1643,桃树缺氮症,Nitrogen deficiency,枝条相对变硬,The branches become relatively hard,存在症状,ManifestAs
1644,桃树缺氮症,Nitrogen deficiency,新梢生长短,Short shoot growth,存在症状,ManifestAs
1645,桃树缺氮症,Nitrogen deficiency,细弱而硬化,Thin and hardened,存在症状,ManifestAs
1646,桃树缺氮症,Nitrogen deficiency,皮部呈浅红色或淡褐色,The skin is light red or light brown,存在症状,ManifestAs
1647,桃树缺氮症,Nitrogen deficiency,初期叶片失绿,Initial leaf chlorosis,存在症状,ManifestAs
1648,桃树缺氮症,Nitrogen deficiency,产生红棕色,Produces reddish brown,存在症状,ManifestAs
1649,桃树缺氮症,Nitrogen deficiency,叶肉呈紫褐色坏死,Purple-brown necrosis of the leaf flesh,存在症状,ManifestAs
1650,桃树缺氮症,Nitrogen deficiency,叶肉红色斑点,Red spots on the leaves,存在症状,ManifestAs
1651,桃树缺磷症,Phosphorus deficiency,枝条细而直立,Thin and upright branches,存在症状,ManifestAs
1652,桃树缺磷症,Phosphorus deficiency,呈紫红色,Purple,存在症状,ManifestAs
1653,桃树缺磷症,Phosphorus deficiency,全株叶片呈深,The leaves of the whole plant are dark,存在症状,ManifestAs
1654,桃树缺磷症,Phosphorus deficiency,叶片转青铜色,The leaves turn bronze,存在症状,ManifestAs
1655,桃树缺磷症,Phosphorus deficiency,棕褐色或红褐色,Tan or reddish brown,存在症状,ManifestAs
1656,桃树缺磷症,Phosphorus deficiency,叶尖向下卷曲,Leaf tips curl downward,存在症状,ManifestAs
1657,桃树缺磷症,Phosphorus deficiency,绿色和黄绿色相间的斑纹,Green and yellow-green stripes,存在症状,ManifestAs
1658,桃树缺磷症,Phosphorus deficiency,早期落叶,Early leaf drop,存在症状,ManifestAs
1659,桃树缺磷症,Phosphorus deficiency,叶片稀少,Few leaves,存在症状,ManifestAs
1660,桃树缺磷症,Phosphorus deficiency,花：开花展叶时间,Flowers: flowering and leafing time,存在症状,ManifestAs
1661,桃树缺磷症,Phosphorus deficiency,迟花芽瘦弱,Late flower buds are weak,存在症状,ManifestAs
1662,桃树缺磷症,Phosphorus deficiency,株：桃树生活力,Peach Tree Vitality,存在症状,ManifestAs
1663,桃树缺磷症,Phosphorus deficiency,降生长迟缓,Reduce growth retardation,存在症状,ManifestAs
1664,桃树缺钾症,Kaliopenia,新梢细而长,New shoots are thin and long,存在症状,ManifestAs
1665,桃树缺钾症,Kaliopenia,叶缘枯焦,Leaf edges burn,存在症状,ManifestAs
1666,桃树缺钾症,Kaliopenia,主脉皱缩,Aorta contraction,存在症状,ManifestAs
1667,桃树缺钾症,Kaliopenia,叶片上卷,Leaf curling up,存在症状,ManifestAs
1668,桃树缺钾症,Kaliopenia,褐色坏死斑,Brown necrotic spots,存在症状,ManifestAs
1669,桃树缺钾症,Kaliopenia,叶片背面多变红色,The back of the leaves turns red,存在症状,ManifestAs
1670,桃树缺钾症,Kaliopenia,花芽减少,Reduced flower buds,存在症状,ManifestAs
1671,桃树缺钾症,Kaliopenia,果顶易腐烂,Fruit tops are prone to rot,存在症状,ManifestAs
1672,桃树缺钾症,Kaliopenia,树势明显衰弱,The tree is obviously weak,存在症状,ManifestAs
1673,桃树缺钾症,Kaliopenia,全树萎蔫,The whole tree wilts,存在症状,ManifestAs
1674,桃树缺铁症,Chlorosis,新梢节间短,Short internodes of new shoots,存在症状,ManifestAs
1675,桃树缺铁症,Chlorosis,嫩叶变黄,Young leaves turn yellow,存在症状,ManifestAs
1676,桃树缺铁症,Chlorosis,叶脉现淡绿色,Leaf veins appear light green,存在症状,ManifestAs
1677,桃树缺铁症,Chlorosis,茶褐色坏死斑,Brown necrotic spots,存在症状,ManifestAs
1678,桃树缺铁症,Chlorosis,花芽不饱满,Flower buds not full,存在症状,ManifestAs
1679,桃树缺铁症,Chlorosis,树冠稀疏,Sparse tree crown,存在症状,ManifestAs
1680,桃树缺铁症,Chlorosis,树势衰弱,Tree weakness,存在症状,ManifestAs
1681,桃树缺锌症,Zinc deficiency,叶片变窄,Narrowing of the blades,存在症状,ManifestAs
1682,桃树缺锌症,Zinc deficiency,不同程度皱叶,Different degrees of wrinkled leaves,存在症状,ManifestAs
1683,桃树缺锌症,Zinc deficiency,叶脉附近淡绿色,Light green near the veins,存在症状,ManifestAs
1684,桃树缺锌症,Zinc deficiency,叶片薄似透明,Thin and transparent leaves,存在症状,ManifestAs
1685,桃树缺锌症,Zinc deficiency,叶缘向上卷,Leaf margins curl upward,存在症状,ManifestAs
1686,桃树缺锌症,Zinc deficiency,红色或紫色污斑,Red or purple stains,存在症状,ManifestAs
1687,桃树缺锌症,Zinc deficiency,节间呈莲座状叶,Rosette-shaped leaves,存在症状,ManifestAs
1688,桃树缺锌症,Zinc deficiency,花形成减少,Decreased flower formation,存在症状,ManifestAs
1689,桃树缺锌症,Zinc deficiency,果实小,Small fruit,存在症状,ManifestAs
1690,桃树缺锌症,Zinc deficiency,果形不整,Irregular fruit shape,存在症状,ManifestAs
1691,桃树缺锌症,Zinc deficiency,果形小而扁,Small and flat fruit,存在症状,ManifestAs
1692,桃树缺锌症,Zinc deficiency,叶下,Under the leaves,存在症状,ManifestAs
1693,桃树缺钙症,Calcium deficiency,叶尖为浅绿色,Light green leaf tips,存在症状,ManifestAs
1694,桃树缺钙症,Calcium deficiency,幼叶金叶变黄,Young leaves turn golden yellow,存在症状,ManifestAs
1695,桃树缺钙症,Calcium deficiency,红褐色坏死斑,Reddish brown necrotic spots,存在症状,ManifestAs
1696,桃树缺钙症,Calcium deficiency,变形呈钩状,Deformed into hook shape,存在症状,ManifestAs
1697,桃树缺钙症,Calcium deficiency,枝梢顶枯,Branch dieback,存在症状,ManifestAs
1698,桃树缺钙症,Calcium deficiency,叶柄变脆,Petiole becomes brittle,存在症状,ManifestAs
1699,桃树缺铜症,Chlorosis,新梢顶枯,New shoots die back,存在症状,ManifestAs
1700,桃树缺铜症,Chlorosis,新梢外观似萎蔫,New shoots appear wilted,存在症状,ManifestAs
1701,桃树缺铜症,Chlorosis,呈丛,Cluster,存在症状,ManifestAs
1702,桃树缺铜症,Chlorosis,树皮粗糙,Rough bark,存在症状,ManifestAs
1703,桃树缺铜症,Chlorosis,树体矮化,Tree dwarfing,存在症状,ManifestAs
1704,桃树缺铜症,Chlorosis,不规则褐色坏死斑,Irregular brown necrotic spots,存在症状,ManifestAs
1705,桃树缺铜症,Chlorosis,龟裂或流,Cracks or flows,存在症状,ManifestAs
1706,桃树缺锰症,Cladosporium carpophilum,新梢生长矮化,Dwarfing of new shoot growth,存在症状,ManifestAs
1707,桃树缺锰症,Cladosporium carpophilum,叶缘色呈浅绿,Light green leaf edges,存在症状,ManifestAs
1708,桃树缺锰症,Cladosporium carpophilum,脉间失绿,Intervein chlorosis,存在症状,ManifestAs
1709,桃树缺锰症,Cladosporium carpophilum,呈绿色网纹状,Green reticular,存在症状,ManifestAs
1710,桃树缺锰症,Cladosporium carpophilum,中脉保持绿色,Keep the midrib green,存在症状,ManifestAs
1711,桃树缺锰症,Cladosporium carpophilum,叶片大部黄化,Most of the leaves are yellowing,存在症状,ManifestAs
1712,桃树缺锰症,Cladosporium carpophilum,呈黄白色,Yellowish white,存在症状,ManifestAs
1713,桃树缺锰症,Cladosporium carpophilum,叶片一,Leaf 1,存在症状,ManifestAs
1714,桃树缺锰症,Cladosporium carpophilum,褐色坏死斑,Brown necrotic spots,存在症状,ManifestAs
1715,桃树缺锰症,Cladosporium carpophilum,早期落叶,Early leaf drop,存在症状,ManifestAs
1716,桃树缺锰症,Cladosporium carpophilum,结果少,Few results,存在症状,ManifestAs
1717,桃树缺锰症,Cladosporium carpophilum,果实着色不好,Poor fruit coloring,存在症状,ManifestAs
1718,桃树缺硼症,Boronia ledifolia,新梢顶枯,New shoots die back,存在症状,ManifestAs
1719,桃树缺硼症,Boronia ledifolia,呈丛枝状,Arbuscular,存在症状,ManifestAs
1720,桃树缺硼症,Boronia ledifolia,枝干流胶,Branch and trunk gum flow,存在症状,ManifestAs
1721,桃树缺硼症,Boronia ledifolia,树皮粗糙,Rough bark,存在症状,ManifestAs
1722,桃树缺硼症,Boronia ledifolia,幼叶黄绿,Young leaves yellow-green,存在症状,ManifestAs
1723,桃树缺硼症,Boronia ledifolia,病叶凸起,Diseased leaves bulge,存在症状,ManifestAs
1724,桃树缺硼症,Boronia ledifolia,叶脉变红,Leaf veins turn red,存在症状,ManifestAs
1725,桃树缺硼症,Boronia ledifolia,叶片簇生,Clustered leaves,存在症状,ManifestAs
1726,桃树缺硼症,Boronia ledifolia,引起大量,Cause a lot of,存在症状,ManifestAs
1727,桃剑纹夜蛾,Acronicta increta,不规则的坑洼,Irregular potholes,存在症状,ManifestAs
1728,桑剑纹夜蛾,Acronicta major,缺刻或孔洞,Notches or holes,存在症状,ManifestAs
1729,蓝目天蛾,Smerinthus planus,缺刻或孔洞,Notches or holes,存在症状,ManifestAs
1730,蓝目天蛾,Smerinthus planus,叶片吃光,Eat all the leaves,存在症状,ManifestAs
1731,蓝目天蛾,Smerinthus planus,残留叶柄,Remaining petiole,存在症状,ManifestAs
1732,褐刺蛾,Thosea sinensis,缺刻状,Notch,存在症状,ManifestAs
1733,双齿绿刺蛾,Latoia consocia,罗底状半透明斑,Translucent spot,存在症状,ManifestAs
1734,双齿绿刺蛾,Latoia consocia,缺刻或孔洞,Notches or holes,存在症状,ManifestAs
1735,双齿绿刺蛾,Latoia consocia,叶片吃光,Eat all the leaves,存在症状,ManifestAs
1736,中国绿刺蛾,Latoia sinica,缺刻或孔洞,Notches or holes,存在症状,ManifestAs
1737,中国绿刺蛾,Latoia sinica,叶片吃光,Eat all the leaves,存在症状,ManifestAs
1738,白杨枯叶蛾,Gastropacha populifolia,缺刻或孔洞,Notches or holes,存在症状,ManifestAs
1739,黄斑卷蛾,Choristoneura longicellana,肉残留,Meat residue,存在症状,ManifestAs
1740,黄斑卷蛾,Choristoneura longicellana,片仅留,Only the film remains,存在症状,ManifestAs
1741,黄斑卷蛾,Choristoneura longicellana,片使整个叶簇卷,The whole leaf cluster is rolled up,存在症状,ManifestAs
1742,顶芽卷蛾,Spilonota lechriaspis,被害顶梢叶苞,Damaged top leaf bracts,存在症状,ManifestAs
1743,水木坚蚧,Parthenolecanium corni,枝梢生长不良,Poor shoot growth,存在症状,ManifestAs
1744,海棠透翅蛾,Synanthedon haitangvora,树势衰弱,Tree weakness,存在症状,ManifestAs
1745,海棠透翅蛾,Synanthedon haitangvora,树体死亡,Tree death,存在症状,ManifestAs
1746,桃仁蜂,Eurytoma persicae,灰黑色僵果,Gray black dead fruit,存在症状,ManifestAs
1747,桃瘤蚜,Myzus persicae,边缘向背后纵向卷曲,The edges curl vertically toward the back,存在症状,ManifestAs
1748,桃瘤蚜,Myzus persicae,凸凹不平,Uneven,存在症状,ManifestAs
1749,桃瘤蚜,Myzus persicae,整叶卷成细绳状,The whole leaf is rolled into a thin rope,存在症状,ManifestAs
1750,李袋果病,Erwinia amylovora,枝梢呈灰色,Gray branches,存在症状,ManifestAs
1751,李袋果病,Erwinia amylovora,略膨胀,Slightly expanded,存在症状,ManifestAs
