number,Chinese entity name,entity binomial scientific name,Chinese region,English region,Chinese relation,English relation
322,苹毛虫,Odonestis pruni,华北,North China,主要发生地,RegionIs
323,苹毛虫,Odonestis pruni,西北,Northwest,主要发生地,RegionIs
324,苹毛虫,Odonestis pruni,华东,East China,主要发生地,RegionIs
325,李短尾蚜,Brachycaudus helichrysi,北京,Beijing,主要发生地,RegionIs
326,李短尾蚜,Brachycaudus helichrysi,山东,Shandong,主要发生地,RegionIs
327,李短尾蚜,Brachycaudus helichrysi,河南,Henan,主要发生地,RegionIs
328,李短尾蚜,Brachycaudus helichrysi,新疆,Xinjiang,主要发生地,RegionIs
329,李短尾蚜,Brachycaudus helichrysi,浙江,Zhejiang,主要发生地,RegionIs
330,李短尾蚜,Brachycaudus helichrysi,福建,Fujian,主要发生地,RegionIs
331,李短尾蚜,Brachycaudus helichrysi,台湾,Taiwan,主要发生地,RegionIs
332,李短尾蚜,Brachycaudus helichrysi,四川,Sichuan,主要发生地,RegionIs
333,苹果树枝溃疡病,Apple branch canker disease,甘肃,Gansu,主要发生地,RegionIs
334,苹果树枝溃疡病,Apple branch canker disease,山西,Shanxi,主要发生地,RegionIs
335,苹果树枝溃疡病,Apple branch canker disease,安徽,Anhui,主要发生地,RegionIs
336,苹果树枝溃疡病,Apple branch canker disease,江苏,Jiangsu,主要发生地,RegionIs
337,苹果花腐病,Monilinia mali,陕西,Shaanxi,主要发生地,RegionIs
338,苹果花腐病,Monilinia mali,云南,Yunnan,主要发生地,RegionIs
339,苹果花腐病,Monilinia mali,四川,Sichuan,主要发生地,RegionIs
340,苹果疫腐病,Phytophthora cactorum,北京,Beijing,主要发生地,RegionIs
341,苹果黑点病,Apple black spot disease,陕西,Shaanxi,主要发生地,RegionIs
342,苹果黑点病,Apple black spot disease,山西,Shanxi,主要发生地,RegionIs
343,苹果树赤衣病,Corticium salmonicolor,江西,Jiangxi,主要发生地,RegionIs
344,苹果树赤衣病,Corticium salmonicolor,湖北,Hubei,主要发生地,RegionIs
345,苹果树赤衣病,Corticium salmonicolor,陕西,Shaanxi,主要发生地,RegionIs
346,苹果毛根病,Apple hairy root disease,辽宁,Liaoning,主要发生地,RegionIs
347,苹果毛根病,Apple hairy root disease,河北,Hebei,主要发生地,RegionIs
348,苹果毛根病,Apple hairy root disease,山东,Shandong,主要发生地,RegionIs
349,苹果绿皱果病,Apple green crinkle fruit disease,甘肃,Gansu,主要发生地,RegionIs
350,苹果绿皱果病,Apple green crinkle fruit disease,陕西,Shaanxi,主要发生地,RegionIs
351,苹果绿皱果病,Apple green crinkle fruit disease,河南,Henan,主要发生地,RegionIs
352,苹果绿皱果病,Apple green crinkle fruit disease,辽宁,Liaoning,主要发生地,RegionIs
353,苹果皱叶病,Apple wrinkled leaf disease,河北,Hebei,主要发生地,RegionIs
354,苹果皱叶病,Apple wrinkled leaf disease,天津,Tianjin,主要发生地,RegionIs
355,苹果扁枝病,Apple flat branch disease,陕西,Shaanxi,主要发生地,RegionIs
356,苹果扁枝病,Apple flat branch disease,河南,Henan,主要发生地,RegionIs
357,苹果扁枝病,Apple flat branch disease,山西,Shanxi,主要发生地,RegionIs
358,苹果扁枝病,Apple flat branch disease,辽宁,Liaoning,主要发生地,RegionIs
359,苹褐卷叶蛾,Pandemis heparana,东北,Northeast,主要发生地,RegionIs
360,苹褐卷叶蛾,Pandemis heparana,华北,North China,主要发生地,RegionIs
361,苹褐卷叶蛾,Pandemis heparana,西北,Northwest,主要发生地,RegionIs
362,苹褐卷叶蛾,Pandemis heparana,华东,East China,主要发生地,RegionIs
363,苹褐卷叶蛾,Pandemis heparana,华中,Central China,主要发生地,RegionIs
364,黄斑卷蛾,Acleris fimbriana,吉林,Jilin,主要发生地,RegionIs
365,黄斑卷蛾,Acleris fimbriana,辽宁,Liaoning,主要发生地,RegionIs
366,黄斑卷蛾,Acleris fimbriana,北京,Beijing,主要发生地,RegionIs
367,黄斑卷蛾,Acleris fimbriana,河北,Hebei,主要发生地,RegionIs
368,黄斑卷蛾,Acleris fimbriana,山西,Shanxi,主要发生地,RegionIs
369,黄斑卷蛾,Acleris fimbriana,山东,Shandong,主要发生地,RegionIs
370,黄斑卷蛾,Acleris fimbriana,河南,Henan,主要发生地,RegionIs
371,黄斑卷蛾,Acleris fimbriana,陕西,Shaanxi,主要发生地,RegionIs
372,黄斑卷蛾,Acleris fimbriana,甘肃,Gansu,主要发生地,RegionIs
373,苹果根绵蚜,Eriosoma lanigerum,东北,Northeast,主要发生地,RegionIs
374,苹果根绵蚜,Eriosoma lanigerum,华北,North China,主要发生地,RegionIs
375,苹果根绵蚜,Eriosoma lanigerum,西北,Northwest,主要发生地,RegionIs
376,苹果根绵蚜,Eriosoma lanigerum,河南,Henan,主要发生地,RegionIs
377,苹果根绵蚜,Eriosoma lanigerum,山东,Shandong,主要发生地,RegionIs
378,苹果根绵蚜,Eriosoma lanigerum,湖北,Hubei,主要发生地,RegionIs
379,梨火疫病,Erwinia amylovora,河北,Hebei,主要发生地,RegionIs
380,梨火疫病,Erwinia amylovora,北京,Beijing,主要发生地,RegionIs
381,梨火疫病,Erwinia amylovora,天津,Tianjin,主要发生地,RegionIs
382,梨火疫病,Erwinia amylovora,河南,Henan,主要发生地,RegionIs
383,梨炭疽病,Colletotrichum gloeosporioides,辽宁,Liaoning,主要发生地,RegionIs
384,梨炭疽病,Colletotrichum gloeosporioides,河北,Hebei,主要发生地,RegionIs
385,梨炭疽病,Colletotrichum gloeosporioides,河南,Henan,主要发生地,RegionIs
386,梨炭疽病,Colletotrichum gloeosporioides,山东,Shandong,主要发生地,RegionIs
387,梨炭疽病,Colletotrichum gloeosporioides,陕西,Shaanxi,主要发生地,RegionIs
388,梨炭疽病,Colletotrichum gloeosporioides,云南,Yunnan,主要发生地,RegionIs
389,梨炭疽病,Colletotrichum gloeosporioides,江西,Jiangxi,主要发生地,RegionIs
390,梨炭疽病,Colletotrichum gloeosporioides,江苏,Jiangsu,主要发生地,RegionIs
391,梨炭疽病,Colletotrichum gloeosporioides,浙江,Zhejiang,主要发生地,RegionIs
392,梨大食心虫,Nephopteryx pirivorella,河北,Hebei,主要发生地,RegionIs
393,梨大食心虫,Nephopteryx pirivorella,山西,Shanxi,主要发生地,RegionIs
394,梨大食心虫,Nephopteryx pirivorella,山东,Shandong,主要发生地,RegionIs
395,梨大食心虫,Nephopteryx pirivorella,河南,Henan,主要发生地,RegionIs
396,梨大食心虫,Nephopteryx pirivorella,安徽,Anhui,主要发生地,RegionIs
397,红蜘蛛,Tetranychus urticae,河北,Hebei,主要发生地,RegionIs
398,红蜘蛛,Tetranychus urticae,北京,Beijing,主要发生地,RegionIs
399,红蜘蛛,Tetranychus urticae,河南,Henan,主要发生地,RegionIs
400,红蜘蛛,Tetranychus urticae,辽东,Liaodong,主要发生地,RegionIs
401,红蜘蛛,Tetranychus urticae,江苏,Jiangsu,主要发生地,RegionIs
402,红蜘蛛,Tetranychus urticae,广东,Guangdong,主要发生地,RegionIs
403,红蜘蛛,Tetranychus urticae,广西,Guangxi,主要发生地,RegionIs
404,瓜绢螟,Diaphania indica,河南,Henan,主要发生地,RegionIs
405,瓜绢螟,Diaphania indica,湖北,Hubei,主要发生地,RegionIs
406,瓜绢螟,Diaphania indica,江西,Jiangxi,主要发生地,RegionIs
407,瓜绢螟,Diaphania indica,贵州,Guizhou,主要发生地,RegionIs
408,瓜绢螟,Diaphania indica,广西,Guangxi,主要发生地,RegionIs
409,瓜绢螟,Diaphania indica,云南,Yunnan,主要发生地,RegionIs
410,瓜绢螟,Diaphania indica,江苏,Jiangsu,主要发生地,RegionIs
411,瓜绢螟,Diaphania indica,浙江,Zhejiang,主要发生地,RegionIs
412,瓜绢螟,Diaphania indica,福建,Fujian,主要发生地,RegionIs
413,瓜绢螟,Diaphania indica,四川,Sichuan,主要发生地,RegionIs
414,瓜绢螟,Diaphania indica,广东,Guangdong,主要发生地,RegionIs
415,瓜绢螟,Diaphania indica,台湾,Taiwan,主要发生地,RegionIs
416,烟青虫,Helicoverpa assulta,山东,Shandong,主要发生地,RegionIs
417,烟青虫,Helicoverpa assulta,河南,Henan,主要发生地,RegionIs
418,烟青虫,Helicoverpa assulta,山西,Shanxi,主要发生地,RegionIs
419,烟青虫,Helicoverpa assulta,陕西,Shaanxi,主要发生地,RegionIs
420,烟青虫,Helicoverpa assulta,安徽,Anhui,主要发生地,RegionIs
421,烟青虫,Helicoverpa assulta,江苏,Jiangsu,主要发生地,RegionIs
422,烟青虫,Helicoverpa assulta,湖北,Hubei,主要发生地,RegionIs
423,烟青虫,Helicoverpa assulta,浙江,Zhejiang,主要发生地,RegionIs
424,烟青虫,Helicoverpa assulta,四川,Sichuan,主要发生地,RegionIs
425,烟青虫,Helicoverpa assulta,云南,Yunnan,主要发生地,RegionIs
426,瓜实蝇,Bactrocera cucurbitae,江苏,Jiangsu,主要发生地,RegionIs
427,瓜实蝇,Bactrocera cucurbitae,福建,Fujian,主要发生地,RegionIs
428,瓜实蝇,Bactrocera cucurbitae,海南,Hainan,主要发生地,RegionIs
429,瓜实蝇,Bactrocera cucurbitae,广东,Guangdong,主要发生地,RegionIs
430,瓜实蝇,Bactrocera cucurbitae,广西,Guangxi,主要发生地,RegionIs
431,瓜实蝇,Bactrocera cucurbitae,贵州,Guizhou,主要发生地,RegionIs
432,瓜实蝇,Bactrocera cucurbitae,云南,Yunnan,主要发生地,RegionIs
433,瓜实蝇,Bactrocera cucurbitae,四川,Sichuan,主要发生地,RegionIs
434,瓜实蝇,Bactrocera cucurbitae,湖南,Hunan,主要发生地,RegionIs
435,瓜实蝇,Bactrocera cucurbitae,台湾,Taiwan,主要发生地,RegionIs
436,扁豆夜蛾,Antitype chi,四川,Sichuan,主要发生地,RegionIs
437,刺足根螨,Rhizoglyphus echinopus,辽宁,Liaoning,主要发生地,RegionIs
438,刺足根螨,Rhizoglyphus echinopus,吉林,Jilin,主要发生地,RegionIs
439,刺足根螨,Rhizoglyphus echinopus,江苏,Jiangsu,主要发生地,RegionIs
440,刺足根螨,Rhizoglyphus echinopus,上海,Shanghai,主要发生地,RegionIs
441,刺足根螨,Rhizoglyphus echinopus,浙江,Zhejiang,主要发生地,RegionIs
442,刺足根螨,Rhizoglyphus echinopus,福建,Fujian,主要发生地,RegionIs
443,刺足根螨,Rhizoglyphus echinopus,四川,Sichuan,主要发生地,RegionIs
444,枸杞木虱,Paratrioza sinica,宁夏,Ningxia,主要发生地,RegionIs
445,枸杞木虱,Paratrioza sinica,甘肃,Gansu,主要发生地,RegionIs
446,枸杞木虱,Paratrioza sinica,新疆,Xinjiang,主要发生地,RegionIs
447,枸杞木虱,Paratrioza sinica,陕西,Shaanxi,主要发生地,RegionIs
448,枸杞木虱,Paratrioza sinica,河北,Hebei,主要发生地,RegionIs
449,枸杞木虱,Paratrioza sinica,内蒙,Inner Mongolia,主要发生地,RegionIs
450,十四点负泥甲,Crioceris quatuordecimpunctata,吉林,Jilin,主要发生地,RegionIs
451,十四点负泥甲,Crioceris quatuordecimpunctata,辽宁,Liaoning,主要发生地,RegionIs
452,十四点负泥甲,Crioceris quatuordecimpunctata,北京,Beijing,主要发生地,RegionIs
453,十四点负泥甲,Crioceris quatuordecimpunctata,河北,Hebei,主要发生地,RegionIs
454,十四点负泥甲,Crioceris quatuordecimpunctata,山东,Shandong,主要发生地,RegionIs
455,十四点负泥甲,Crioceris quatuordecimpunctata,江苏,Jiangsu,主要发生地,RegionIs
456,十四点负泥甲,Crioceris quatuordecimpunctata,浙江,Zhejiang,主要发生地,RegionIs
457,十四点负泥甲,Crioceris quatuordecimpunctata,福建,Fujian,主要发生地,RegionIs
458,十四点负泥甲,Crioceris quatuordecimpunctata,陕西,Shaanxi,主要发生地,RegionIs
459,十四点负泥甲,Crioceris quatuordecimpunctata,广西,Guangxi,主要发生地,RegionIs
460,莲潜叶摇蚊,Stenochironomus nelumbus,安徽,Anhui,主要发生地,RegionIs
461,莲潜叶摇蚊,Stenochironomus nelumbus,湖北,Hubei,主要发生地,RegionIs
462,茭白锈病,Uromyces coronatus,浙江,Zhejiang,主要发生地,RegionIs
463,茭白锈病,Uromyces coronatus,江苏,Jiangsu,主要发生地,RegionIs
464,茭白锈病,Uromyces coronatus,安徽,Anhui,主要发生地,RegionIs
465,茭白锈病,Uromyces coronatus,湖北,Hubei,主要发生地,RegionIs
466,茭白锈病,Uromyces coronatus,湖南,Hunan,主要发生地,RegionIs
467,茭白锈病,Uromyces coronatus,广东,Guangdong,主要发生地,RegionIs
468,茭白锈病,Uromyces coronatus,广西,Guangxi,主要发生地,RegionIs
469,茭白锈病,Uromyces coronatus,台湾,Taiwan,主要发生地,RegionIs
470,茭白锈病,Uromyces coronatus,四川,Sichuan,主要发生地,RegionIs
471,黄色白禾螟,Scirpophaga nivella,上海,Shanghai,主要发生地,RegionIs
472,黄色白禾螟,Scirpophaga nivella,江苏,Jiangsu,主要发生地,RegionIs
473,黄色白禾螟,Scirpophaga nivella,安徽,Anhui,主要发生地,RegionIs
474,黄色白禾螟,Scirpophaga nivella,浙江,Zhejiang,主要发生地,RegionIs
475,黄色白禾螟,Scirpophaga nivella,湖南,Hunan,主要发生地,RegionIs
476,黄色白禾螟,Scirpophaga nivella,福建,Fujian,主要发生地,RegionIs
477,盗毒蛾,Porthesia similis,华东,East China,主要发生地,RegionIs
478,白雪灯蛾,Spilosoma niveus,青海,Qinghai,主要发生地,RegionIs
479,白雪灯蛾,Spilosoma niveus,陕西,Shaanxi,主要发生地,RegionIs
480,白雪灯蛾,Spilosoma niveus,内蒙古,Inner Mongolia,主要发生地,RegionIs
481,白雪灯蛾,Spilosoma niveus,河北,Hebei,主要发生地,RegionIs
482,白雪灯蛾,Spilosoma niveus,河南,Henan,主要发生地,RegionIs
483,白雪灯蛾,Spilosoma niveus,山东,Shandong,主要发生地,RegionIs
484,白雪灯蛾,Spilosoma niveus,浙江,Zhejiang,主要发生地,RegionIs
485,白雪灯蛾,Spilosoma niveus,湖北,Hubei,主要发生地,RegionIs
486,白雪灯蛾,Spilosoma niveus,江西,Jiangxi,主要发生地,RegionIs
487,白雪灯蛾,Spilosoma niveus,湖南,Hunan,主要发生地,RegionIs
488,白雪灯蛾,Spilosoma niveus,福建,Fujian,主要发生地,RegionIs
489,白雪灯蛾,Spilosoma niveus,广西,Guangxi,主要发生地,RegionIs
490,白雪灯蛾,Spilosoma niveus,四川,Sichuan,主要发生地,RegionIs
491,白雪灯蛾,Spilosoma niveus,云南,Yunnan,主要发生地,RegionIs
492,斑鞘豆叶甲,Colposcelis signata,黑龙江,Heilongjiang,主要发生地,RegionIs
493,斑鞘豆叶甲,Colposcelis signata,河北,Hebei,主要发生地,RegionIs
494,斑鞘豆叶甲,Colposcelis signata,陕西,Shaanxi,主要发生地,RegionIs
495,斑鞘豆叶甲,Colposcelis signata,江苏,Jiangsu,主要发生地,RegionIs
496,斑鞘豆叶甲,Colposcelis signata,安徽,Anhui,主要发生地,RegionIs
497,斑鞘豆叶甲,Colposcelis signata,浙江,Zhejiang,主要发生地,RegionIs
498,斑鞘豆叶甲,Colposcelis signata,福建,Fujian,主要发生地,RegionIs
499,斑鞘豆叶甲,Colposcelis signata,台湾,Taiwan,主要发生地,RegionIs
500,斑鞘豆叶甲,Colposcelis signata,广东,Guangdong,主要发生地,RegionIs
501,斑鞘豆叶甲,Colposcelis signata,广西,Guangxi,主要发生地,RegionIs
502,斑鞘豆叶甲,Colposcelis signata,四川,Sichuan,主要发生地,RegionIs
503,斑鞘豆叶甲,Colposcelis signata,云南,Yunnan,主要发生地,RegionIs
504,豆叶螨,Tetranychus phaselus,浙江,Zhejiang,主要发生地,RegionIs
505,豆叶螨,Tetranychus phaselus,江苏,Jiangsu,主要发生地,RegionIs
506,豆叶螨,Tetranychus phaselus,四川,Sichuan,主要发生地,RegionIs
507,豆叶螨,Tetranychus phaselus,云南,Yunnan,主要发生地,RegionIs
508,豆叶螨,Tetranychus phaselus,湖北,Hubei,主要发生地,RegionIs
509,豆叶螨,Tetranychus phaselus,福建,Fujian,主要发生地,RegionIs
510,豆叶螨,Tetranychus phaselus,台湾,Taiwan,主要发生地,RegionIs
511,盗毒蛾,Porthesia similis,华南,South China,主要发生地,RegionIs
512,盗毒蛾,Porthesia similis,西南,Southwest,主要发生地,RegionIs
513,盗毒蛾,Porthesia similis,东北,Northeast,主要发生地,RegionIs
514,毛豆叶斑病,Cercospora sojina,河南,Henan,主要发生地,RegionIs
515,毛豆叶斑病,Cercospora sojina,山东,Shandong,主要发生地,RegionIs
516,毛豆叶斑病,Cercospora sojina,江苏,Jiangsu,主要发生地,RegionIs
517,毛豆黑点病,Diaporthe sojae,东北,Northeast,主要发生地,RegionIs
518,毛豆黑点病,Diaporthe sojae,河南,Henan,主要发生地,RegionIs
519,毛豆黑点病,Diaporthe sojae,山东,Shandong,主要发生地,RegionIs
520,毛豆黑点病,Diaporthe sojae,江苏,Jiangsu,主要发生地,RegionIs
521,毛豆黑点病,Diaporthe sojae,湖北,Hubei,主要发生地,RegionIs
522,毛豆黑点病,Diaporthe sojae,四川,Sichuan,主要发生地,RegionIs
523,毛豆黑点病,Diaporthe sojae,云南,Yunnan,主要发生地,RegionIs
524,毛豆茎枯病,Diaporthe phaseolorum,华北,North China,主要发生地,RegionIs
525,茄无网蚜,Acyrthosiphon solani,青海,Qinghai,主要发生地,RegionIs
526,茄无网蚜,Acyrthosiphon solani,河北,Hebei,主要发生地,RegionIs
527,茄无网蚜,Acyrthosiphon solani,山东,Shandong,主要发生地,RegionIs
528,茄无网蚜,Acyrthosiphon solani,河南,Henan,主要发生地,RegionIs
529,茄无网蚜,Acyrthosiphon solani,浙江,Zhejiang,主要发生地,RegionIs
530,茄无网蚜,Acyrthosiphon solani,四川,Sichuan,主要发生地,RegionIs
531,黄领麻纹灯蛾,Spilarctia imparilis,湖南,Hunan,主要发生地,RegionIs
532,黄领麻纹灯蛾,Spilarctia imparilis,云南,Yunnan,主要发生地,RegionIs
533,黄领麻纹灯蛾,Spilarctia imparilis,贵州,Guizhou,主要发生地,RegionIs
534,甘薯肖叶甲,Colasposoma dauricum,东北,Northeast,主要发生地,RegionIs
535,甘薯肖叶甲,Colasposoma dauricum,华北,North China,主要发生地,RegionIs
536,甘薯肖叶甲,Colasposoma dauricum,西北,Northwest,主要发生地,RegionIs
537,甘薯肖叶甲,Colasposoma dauricum,华中,Central China,主要发生地,RegionIs
538,甘薯肖叶甲,Colasposoma dauricum,西南,Southwest,主要发生地,RegionIs
539,甘薯肖叶甲,Colasposoma dauricum,华东,East China,主要发生地,RegionIs
540,莴笋锈病,Puccinia lactucae - salicis,广西,Guangxi,主要发生地,RegionIs
541,莴笋锈病,Puccinia lactucae - salicis,云南,Yunnan,主要发生地,RegionIs
542,莴苣冬夜蛾,Cucullia fraterna,新疆,Xinjiang,主要发生地,RegionIs
543,莴苣冬夜蛾,Cucullia fraterna,江西,Jiangxi,主要发生地,RegionIs
544,莴苣冬夜蛾,Cucullia fraterna,辽宁,Liaoning,主要发生地,RegionIs
545,莴苣冬夜蛾,Cucullia fraterna,吉林,Jilin,主要发生地,RegionIs
546,莴苣冬夜蛾,Cucullia fraterna,浙江,Zhejiang,主要发生地,RegionIs
547,葡萄蔓割病,Botryosphaeria dothidea,山东,Shandong,主要发生地,RegionIs
548,葡萄叶斑病,Isariopsis clavispora,河北,Hebei,主要发生地,RegionIs
549,黑额光叶甲,Smaragdina nigrifrons,辽宁,Liaoning,主要发生地,RegionIs
550,黑额光叶甲,Smaragdina nigrifrons,河北,Hebei,主要发生地,RegionIs
551,黑额光叶甲,Smaragdina nigrifrons,北京,Beijing,主要发生地,RegionIs
552,黑额光叶甲,Smaragdina nigrifrons,山西,Shanxi,主要发生地,RegionIs
553,黑额光叶甲,Smaragdina nigrifrons,陕西,Shaanxi,主要发生地,RegionIs
554,黑额光叶甲,Smaragdina nigrifrons,山东,Shandong,主要发生地,RegionIs
555,黑额光叶甲,Smaragdina nigrifrons,河南,Henan,主要发生地,RegionIs
556,黑额光叶甲,Smaragdina nigrifrons,江苏,Jiangsu,主要发生地,RegionIs
557,黑额光叶甲,Smaragdina nigrifrons,安徽,Anhui,主要发生地,RegionIs
558,黑额光叶甲,Smaragdina nigrifrons,浙江,Zhejiang,主要发生地,RegionIs
559,黑额光叶甲,Smaragdina nigrifrons,湖北,Hubei,主要发生地,RegionIs
560,黑额光叶甲,Smaragdina nigrifrons,江西,Jiangxi,主要发生地,RegionIs
561,黑额光叶甲,Smaragdina nigrifrons,湖南,Hunan,主要发生地,RegionIs
562,黑额光叶甲,Smaragdina nigrifrons,福建,Fujian,主要发生地,RegionIs
563,黑额光叶甲,Smaragdina nigrifrons,台湾,Taiwan,主要发生地,RegionIs
564,黑额光叶甲,Smaragdina nigrifrons,广东,Guangdong,主要发生地,RegionIs
565,黑额光叶甲,Smaragdina nigrifrons,广西,Guangxi,主要发生地,RegionIs
566,黑额光叶甲,Smaragdina nigrifrons,四川,Sichuan,主要发生地,RegionIs
567,黑额光叶甲,Smaragdina nigrifrons,贵州,Guizhou,主要发生地,RegionIs
568,菜叶蜂,Athalia rosae,安徽,Anhui,主要发生地,RegionIs
569,菜叶蜂,Athalia rosae,浙江,Zhejiang,主要发生地,RegionIs
570,菜叶蜂,Athalia rosae,江西,Jiangxi,主要发生地,RegionIs
571,菜叶蜂,Athalia rosae,福建,Fujian,主要发生地,RegionIs
572,菜叶蜂,Athalia rosae,台湾,Taiwan,主要发生地,RegionIs
573,菜叶蜂,Athalia rosae,四川,Sichuan,主要发生地,RegionIs
574,菜叶蜂,Athalia rosae,云南,Yunnan,主要发生地,RegionIs
575,大猿叶甲,Colaphellus bowringi,东北,Northeast,主要发生地,RegionIs
576,大猿叶甲,Colaphellus bowringi,甘肃,Gansu,主要发生地,RegionIs
577,大猿叶甲,Colaphellus bowringi,青海,Qinghai,主要发生地,RegionIs
578,大猿叶甲,Colaphellus bowringi,河北,Hebei,主要发生地,RegionIs
579,大猿叶甲,Colaphellus bowringi,山西,Shanxi,主要发生地,RegionIs
580,大猿叶甲,Colaphellus bowringi,山东,Shandong,主要发生地,RegionIs
581,大猿叶甲,Colaphellus bowringi,陕西,Shaanxi,主要发生地,RegionIs
582,大猿叶甲,Colaphellus bowringi,江苏,Jiangsu,主要发生地,RegionIs
583,大猿叶甲,Colaphellus bowringi,华南,South China,主要发生地,RegionIs
584,大猿叶甲,Colaphellus bowringi,西南,Southwest,主要发生地,RegionIs
585,甜菜丛根病,Beet necrotic yellow vein virus,山西,Shanxi,主要发生地,RegionIs
586,甜菜丛根病,Beet necrotic yellow vein virus,甘肃,Gansu,主要发生地,RegionIs
587,甜菜丛根病,Beet necrotic yellow vein virus,宁夏,Ningxia,主要发生地,RegionIs
588,甜菜跳甲,Chaetocnema discreta,湖北,Hubei,主要发生地,RegionIs
589,甜菜跳甲,Chaetocnema discreta,江西,Jiangxi,主要发生地,RegionIs
590,甜菜跳甲,Chaetocnema discreta,湖南,Hunan,主要发生地,RegionIs
591,甜菜跳甲,Chaetocnema discreta,浙江,Zhejiang,主要发生地,RegionIs
592,甜菜跳甲,Chaetocnema discreta,福建,Fujian,主要发生地,RegionIs
593,甜菜跳甲,Chaetocnema discreta,广东,Guangdong,主要发生地,RegionIs
594,甜菜跳甲,Chaetocnema discreta,广西,Guangxi,主要发生地,RegionIs
595,甜菜跳甲,Chaetocnema discreta,四川,Sichuan,主要发生地,RegionIs
596,甜菜跳甲,Chaetocnema discreta,贵州,Guizhou,主要发生地,RegionIs
597,甜菜跳甲,Chaetocnema discreta,黑龙江,Heilongjiang,主要发生地,RegionIs
598,甜菜白带野螟,Hymenia recurvalis,黑龙江,Heilongjiang,主要发生地,RegionIs
599,甜菜白带野螟,Hymenia recurvalis,吉林,Jilin,主要发生地,RegionIs
600,甜菜白带野螟,Hymenia recurvalis,辽宁,Liaoning,主要发生地,RegionIs
601,甜菜白带野螟,Hymenia recurvalis,内蒙古,Inner Mongolia,主要发生地,RegionIs
602,甜菜白带野螟,Hymenia recurvalis,宁夏,Ningxia,主要发生地,RegionIs
603,甜菜白带野螟,Hymenia recurvalis,青海,Qinghai,主要发生地,RegionIs
604,甜菜白带野螟,Hymenia recurvalis,陕西,Shaanxi,主要发生地,RegionIs
605,甜菜白带野螟,Hymenia recurvalis,山西,Shanxi,主要发生地,RegionIs
606,甜菜白带野螟,Hymenia recurvalis,北京,Beijing,主要发生地,RegionIs
607,甜菜白带野螟,Hymenia recurvalis,河北,Hebei,主要发生地,RegionIs
608,甜菜白带野螟,Hymenia recurvalis,山东,Shandong,主要发生地,RegionIs
609,甜菜白带野螟,Hymenia recurvalis,安徽,Anhui,主要发生地,RegionIs
610,甜菜白带野螟,Hymenia recurvalis,江苏,Jiangsu,主要发生地,RegionIs
611,甜菜白带野螟,Hymenia recurvalis,上海,Shanghai,主要发生地,RegionIs
612,甜菜白带野螟,Hymenia recurvalis,浙江,Zhejiang,主要发生地,RegionIs
613,甜菜白带野螟,Hymenia recurvalis,江西,Jiangxi,主要发生地,RegionIs
614,甜菜白带野螟,Hymenia recurvalis,福建,Fujian,主要发生地,RegionIs
615,甜菜白带野螟,Hymenia recurvalis,台湾,Taiwan,主要发生地,RegionIs
616,甜菜白带野螟,Hymenia recurvalis,湖南,Hunan,主要发生地,RegionIs
617,甜菜白带野螟,Hymenia recurvalis,湖北,Hubei,主要发生地,RegionIs
618,甜菜白带野螟,Hymenia recurvalis,广东,Guangdong,主要发生地,RegionIs
619,甜菜白带野螟,Hymenia recurvalis,广西,Guangxi,主要发生地,RegionIs
620,甜菜白带野螟,Hymenia recurvalis,贵州,Guizhou,主要发生地,RegionIs
621,甜菜白带野螟,Hymenia recurvalis,重庆,Chongqing,主要发生地,RegionIs
622,甜菜白带野螟,Hymenia recurvalis,四川,Sichuan,主要发生地,RegionIs
623,甜菜白带野螟,Hymenia recurvalis,云南,Yunnan,主要发生地,RegionIs
624,甜菜白带野螟,Hymenia recurvalis,西藏,Tibet,主要发生地,RegionIs
625,黄草地螟,Loxostege verticalis,宁夏,Ningxia,主要发生地,RegionIs
626,黄草地螟,Loxostege verticalis,陕西,Shaanxi,主要发生地,RegionIs
627,黄草地螟,Loxostege verticalis,新疆,Xinjiang,主要发生地,RegionIs
628,黄草地螟,Loxostege verticalis,江苏,Jiangsu,主要发生地,RegionIs
629,黄草地螟,Loxostege verticalis,四川,Sichuan,主要发生地,RegionIs
630,黄草地螟,Loxostege verticalis,云南,Yunnan,主要发生地,RegionIs
631,黄草地螟,Loxostege verticalis,山东,Shandong,主要发生地,RegionIs
632,茶网饼病,Exobasidium reticulatum,安徽,Anhui,主要发生地,RegionIs
633,茶网饼病,Exobasidium reticulatum,浙江,Zhejiang,主要发生地,RegionIs
634,茶网饼病,Exobasidium reticulatum,江西,Jiangxi,主要发生地,RegionIs
635,茶网饼病,Exobasidium reticulatum,福建,Fujian,主要发生地,RegionIs
636,茶网饼病,Exobasidium reticulatum,广东,Guangdong,主要发生地,RegionIs
637,茶网饼病,Exobasidium reticulatum,四川,Sichuan,主要发生地,RegionIs
638,茶网饼病,Exobasidium reticulatum,贵州,Guizhou,主要发生地,RegionIs
639,茶网饼病,Exobasidium reticulatum,台湾,Taiwan,主要发生地,RegionIs
640,茶芽枯病,Tea bud blight,分布,Distribution,主要发生地,RegionIs
641,茶芽枯病,Tea bud blight,安徽,Anhui,主要发生地,RegionIs
642,茶芽枯病,Tea bud blight,浙江,Zhejiang,主要发生地,RegionIs
643,茶芽枯病,Tea bud blight,湖南,Hunan,主要发生地,RegionIs
644,茶芽枯病,Tea bud blight,江苏,Jiangsu,主要发生地,RegionIs
